utcTime,eventMarker
1631023427383.0,start_experiment
1631023450724.4531,start_baseline
1631023630724.4531,end_baseline
1631023649061.568,submit_survey
1631023654890.0093,start_crt
1631023723156.2922,start_nback
1631023810570.2651,start_activity
1631023991490.155,end_activity
1631024010315.1008,submit_survey
1631024015788.288,start_crt
1631024084188.329,start_nback
1631024172855.846,start_fatigue
1631024353803.872,end_fatigue
1631024365018.369,submit_survey
1631024374569.523,start_crt
1631024446871.561,start_nback
1631024496885.906,end_session
