utcTime,eventMarker
1631290312866.0,start_experiment
1631290337173.056,start_baseline
1631290517173.056,end_baseline
1631290549436.037,submit_survey
1631290559970.4211,start_crt
1631290627957.059,start_nback
1631290729870.992,start_activity
1631290910322.9492,end_activity
1631290945030.6758,submit_survey
1631290949724.524,start_crt
1631291019789.846,start_nback
1631291109339.607,start_fatigue
1631291278243.2158,end_fatigue
1631291284278.645,submit_survey
1631291289255.5771,start_crt
1631291357387.425,start_nback
1631291407409.4238,end_session
