utcTime,eventMarker
1629797506435.0,start_experiment
1629797528069.716,start_baseline
1629797708069.716,end_baseline
1629797723209.659,submit_survey
1629797737936.678,start_crt
1629797822381.5579,start_nback
1629797942066.9639,start_activity
1629798123061.719,end_activity
1629798162952.8552,submit_survey
1629798169866.791,start_crt
1629798242699.1748,start_nback
1629798396630.086,start_fatigue
1629798729680.766,end_fatigue
1629798736753.7769,submit_survey
1629798740895.659,start_crt
1629798818646.5608,start_nback
1629798868648.693,end_session
