trialStartTime,trialEndTime,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
294.0243483469821,294.5291515719145,H,None,None,1,,0,0
296.5285836189287,297.0420634589391,F,None,None,1,,1,0
299.0281663999194,299.54204265598673,H,m,m,1,0.6035666889511049,2,0
301.5393884119112,302.0419379279483,X,None,None,1,,3,0
304.02798077999614,304.54193330497947,B,None,None,1,,4,0
306.5279275389621,307.04132316692267,X,m,m,1,0.3671813550172373,5,0
309.0281253969297,309.5417902529007,R,None,None,1,,6,0
311.5278208019445,312.04185918089934,K,None,None,1,,7,0
314.02822163596284,314.5417810649378,M,None,None,1,,8,0
316.52817329892423,317.0417179859942,Q,None,None,1,,9,0
319.0278711069841,319.54171506199054,M,m,m,1,0.4331583679886535,10,0
321.5278929289197,322.0410173989367,X,None,None,1,,11,0
324.0279943560017,324.5416494240053,Q,None,None,1,,12,0
326.52768469194416,327.04165491100866,K,None,None,1,,13,0
329.02853378199507,329.54158003791235,R,None,None,1,,14,0
331.52796975395177,332.0415851389989,H,None,None,1,,15,0
334.0279127919348,334.5404977219878,R,m,m,1,0.3857971479883417,16,0
336.5276087509701,337.0409922939725,F,None,None,1,,17,0
339.0276256490033,339.5415521549294,M,None,None,1,,18,0
341.5278106019832,342.0414283539867,B,None,None,1,,19,0
713.9185823589796,714.4234862769954,K,None,None,1,,0,1
716.4051963359816,716.9030367908999,M,None,None,1,,1,1
718.9059238709742,719.4029553539585,H,None,None,1,,2,1
721.4053402539575,721.9031638429733,F,None,None,1,,3,1
723.9038678889628,724.4027750269743,H,m,m,1,0.3801956170937046,4,1
726.4059760739328,726.9028561849846,R,None,None,1,,5,1
728.9083612139802,729.4232308419887,X,None,None,1,,6,1
731.4058227029163,731.9027558169328,R,m,m,1,0.3938591179903596,7,1
733.9057245609583,734.4028986209305,B,None,None,1,,8,1
736.4050595900044,736.9020748059265,K,None,None,1,,9,1
738.9049660769524,739.4027240090072,Q,None,None,1,,10,1
741.4057120499201,741.9027541480027,K,m,m,1,0.4515682620694861,11,1
743.9057113149902,744.4026534009026,F,None,None,1,,12,1
746.405591623974,746.9025310759898,B,None,None,1,,13,1
748.9035389079945,749.4024980779504,H,None,None,1,,14,1
751.4052198969293,751.902618382941,B,m,m,1,0.4040229979436844,15,1
753.9057968979469,754.4024948379956,R,None,None,1,,16,1
756.4047153239371,756.9025019688997,Q,None,None,1,,17,1
758.9063591649756,759.402496045921,M,None,None,1,,18,1
761.4045014230069,761.9024443340022,X,None,None,1,,19,1
1103.6201930670068,1104.131074215984,B,None,None,1,,0,2
1106.1338890029583,1106.6306116819617,H,None,None,1,,1,2
1108.6333291779738,1109.131139377947,K,None,None,1,,2,2
1111.1343072470045,1111.6309939899947,F,None,None,1,,3,2
1113.633110126946,1114.1312085369136,X,None,None,1,,4,2
1116.1332272189902,1116.6309411189286,F,m,m,1,0.3922916280571371,5,2
1118.6331262679305,1119.1309004819486,Q,None,None,1,,6,2
1121.1336696469225,1121.6308355029903,R,None,None,1,,7,2
1123.6324269889155,1124.129980269936,Q,m,m,1,0.4006959579419344,8,2
1126.1330765999155,1126.6308139389148,M,None,None,1,,9,2
1128.6340273559326,1129.1307237899164,K,None,None,1,,10,2
1131.133687741938,1131.630748186959,R,None,None,1,,11,2
1133.6330607659183,1134.1301141409203,K,m,m,1,0.4735720480093732,12,2
1136.1298079629196,1136.6296045079362,B,None,None,1,,13,2
1138.632835109951,1139.1308679078938,M,None,None,1,,14,2
1141.1329949419014,1141.6302893579705,B,m,m,1,0.4791926989564672,15,2
1143.6327571669826,1144.1305804579752,Q,None,None,1,,16,2
1146.132591800997,1146.6305574559374,F,None,None,1,,17,2
1148.63276690396,1149.130684089963,H,None,None,1,,18,2
1151.1331607839093,1151.6305903369794,X,None,None,1,,19,2
