timestamp,gx,gy,gz
1629811241489,-3.1325000000000003,1.12,1.3825
1629811241498,-3.5175000000000005,1.5925000000000002,1.3650000000000002
1629811241508,-3.7800000000000002,1.5050000000000001,0.6300000000000001
1629811241517,-3.9375000000000004,1.2600000000000002,0.42000000000000004
1629811241527,-4.235,1.1900000000000002,0.6475000000000001
1629811241537,-4.2875000000000005,0.77,0.8925000000000001
1629811241546,-4.235,0.7000000000000001,1.155
1629811241556,-4.112500000000001,0.6825000000000001,1.1900000000000002
1629811241565,-4.025,0.805,1.3125000000000002
1629811241575,-3.7275000000000005,0.56,0.9800000000000001
1629811241585,-3.9550000000000005,0.6125,0.665
1629811241594,-3.7100000000000004,-0.21000000000000002,0.1925
1629811241604,-3.7800000000000002,-0.3325,0.24500000000000002
1629811241613,-3.2375000000000003,-0.8575,0.36750000000000005
1629811241623,-2.8000000000000003,-0.77,0.805
1629811241633,-2.205,-0.43750000000000006,0.9100000000000001
1629811241642,-1.9075000000000002,0.24500000000000002,0.9100000000000001
1629811241652,-1.61,0.7875000000000001,1.0325000000000002
1629811241661,-1.4000000000000001,1.1375000000000002,1.0325000000000002
1629811241671,-1.4175000000000002,1.4700000000000002,0.6825000000000001
1629811241681,-1.5575,1.33,0.36750000000000005
1629811241690,-1.6625,1.0675000000000001,0.29750000000000004
1629811241700,-1.715,0.9450000000000001,0.4025
1629811241709,-1.9600000000000002,0.9975,1.0850000000000002
1629811241719,-2.2575000000000003,1.4875,1.225
1629811241729,-2.6950000000000003,1.8900000000000001,1.2775
1629811241738,-3.1325000000000003,2.2750000000000004,3.4650000000000003
1629811241748,-3.535,2.8875,5.407500000000001
1629811241757,-3.7625,2.3800000000000003,3.7100000000000004
1629811241767,-3.7450000000000006,1.6450000000000002,1.61
1629811241777,-4.2875000000000005,2.2225,1.2075
1629811227938,-4.515000000000001,1.8375000000000001,1.7500000000000002
1629811227947,-4.0075,0.9975,2.3625000000000003
1629811227957,-3.5175000000000005,0.6300000000000001,2.6075000000000004
1629811227967,-2.9050000000000002,0.42000000000000004,2.3625000000000003
1629811227976,-2.555,0.2625,1.8200000000000003
1629811227986,-2.1,-0.35000000000000003,1.1900000000000002
1629811227995,-1.8725000000000003,-0.43750000000000006,0.9450000000000001
1629811228005,-1.5925000000000002,-0.052500000000000005,0.7525000000000001
1629811228015,-1.2425000000000002,-0.08750000000000001,0.43750000000000006
1629811228024,-1.2425000000000002,0.052500000000000005,0.5775
1629811228034,-1.3125000000000002,0.0,0.9100000000000001
1629811228043,-1.5925000000000002,0.21000000000000002,0.9100000000000001
1629811228053,-1.9775000000000003,0.22750000000000004,0.47250000000000003
1629811228063,-2.2575000000000003,0.12250000000000001,0.07
1629811228072,-2.5900000000000003,0.35000000000000003,-0.47250000000000003
1629811228082,-2.8000000000000003,0.385,-0.805
1629811228091,-2.6425,0.2625,-1.5575
1629811228101,-2.4675000000000002,0.7350000000000001,-0.9625000000000001
1629811228111,-2.415,1.54,-0.6825000000000001
1629811228120,-2.4325,1.54,0.10500000000000001
1629811228130,-3.0100000000000002,2.3275,0.5950000000000001
1629811228139,-3.1675000000000004,1.6625,0.1925
1629811228149,-3.5525,1.225,0.15750000000000003
1629811228159,-4.077500000000001,1.0675000000000001,0.4025
1629811228168,-4.48,0.8925000000000001,0.5425000000000001
1629811228178,-4.567500000000001,0.7350000000000001,0.525
1629811228187,-4.585000000000001,1.12,0.7350000000000001
1629811228197,-4.567500000000001,1.8900000000000001,1.435
1629811228207,-4.375,2.3975000000000004,2.1
1629811228216,-4.1825,2.975,2.4675000000000002
1629811228226,-3.6750000000000003,3.0975,2.6775
1629811228235,-3.0975,3.2900000000000005,2.6075000000000004
1629811228245,-2.8350000000000004,3.3075,2.1175
1629811228255,-2.5725000000000002,3.0625000000000004,1.6450000000000002
1629811228264,-2.1175,2.3625000000000003,0.805
1629811228274,-1.7325000000000002,2.2225,0.0
1629811228283,-1.4000000000000001,2.1525000000000003,-0.42000000000000004
1629811228293,-1.3125000000000002,2.4850000000000003,-0.8925000000000001
1629811228303,-1.05,2.6075000000000004,-1.1025
1629811228312,-0.6475000000000001,2.7300000000000004,-0.7175
1629811228322,-0.21000000000000002,3.1675000000000004,-0.22750000000000004
1629811228331,-0.035,4.0600000000000005,-0.07
1629811228341,-0.035,4.6025,0.15750000000000003
1629811228351,0.052500000000000005,4.41,1.0675000000000001
1629811228360,0.1925,4.9,0.7875000000000001
1629811228370,-0.10500000000000001,5.3025,0.665
1629811228379,-0.36750000000000005,5.180000000000001,3.0100000000000002
1629811228389,-0.9625000000000001,5.285,4.340000000000001
1629811228399,-1.1725,3.9550000000000005,2.5200000000000005
1629811228408,-1.4700000000000002,3.0975,1.61
1629811228418,-2.0300000000000002,2.5200000000000005,2.0825
1629811228427,-2.5375,2.1700000000000004,2.87
1629811228437,-2.765,2.1175,3.5175000000000005
1629811228447,-2.4850000000000003,2.1175,3.2025
1629811228456,-2.0825,3.1325000000000003,2.2750000000000004
