timestamp,ax,ay,az
1629810908085,-0.703696,-0.636169,-0.29700899999999997
1629810908095,-0.700829,-0.644038,-0.292983
1629810908105,-0.698938,-0.648003,-0.29219
1629810908114,-0.69967,-0.648491,-0.292068
1629810908124,-0.701195,-0.647149,-0.293593
1629810908133,-0.703086,-0.6442209999999999,-0.294386
1629810908143,-0.707234,-0.6408659999999999,-0.298168
1629810908153,-0.710589,-0.6378159999999999,-0.30012
1629810908162,-0.71553,-0.633912,-0.30256
1629810908172,-0.720776,-0.634278,-0.303902
1629810908181,-0.72529,-0.634583,-0.30622
1629810908191,-0.728279,-0.634949,-0.30567099999999997
1629810908201,-0.731939,-0.633485,-0.30658599999999997
1629810908210,-0.734074,-0.630679,-0.30475599999999997
1629810908220,-0.735355,-0.626958,-0.300913
1629810908229,-0.734196,-0.622139,-0.293532
1629810908239,-0.736514,-0.6177469999999999,-0.290909
1629810908249,-0.737978,-0.612501,-0.29304399999999997
1629810908258,-0.739076,-0.610061,-0.298351
1629810908268,-0.741699,-0.605059,-0.304024
1629810908277,-0.7434069999999999,-0.599874,-0.309758
1629810908287,-0.746274,-0.592432,-0.314211
1629810908297,-0.74847,-0.586454,-0.31781
1629810908306,-0.75091,-0.582306,-0.318481
1629810908316,-0.750849,-0.579317,-0.318664
1629810908325,-0.752008,-0.575901,-0.31842
1629810908335,-0.753228,-0.573339,-0.320067
1629810908345,-0.7549359999999999,-0.570228,-0.318969
1629810908354,-0.75457,-0.568032,-0.320372
1629810908364,-0.7521909999999999,-0.563518,-0.31890799999999997
1629810908373,-0.753045,-0.562115,-0.31646799999999997
1629810615835,-0.770796,-0.39283999999999997,-0.49885799999999997
1629810615844,-0.770857,-0.391559,-0.500444
1629810615854,-0.770247,-0.391559,-0.499651
1629810615864,-0.769698,-0.392413,-0.499346
1629810615873,-0.77043,-0.393511,-0.498431
1629810615883,-0.770796,-0.391986,-0.498126
1629810615892,-0.77043,-0.391742,-0.499895
1629810615902,-0.770308,-0.389973,-0.499834
1629810615912,-0.771162,-0.388204,-0.498614
1629810615921,-0.773297,-0.389424,-0.500993
1629810615931,-0.773846,-0.392657,-0.504348
1629810615940,-0.772748,-0.393816,-0.507764
1629810615950,-0.772809,-0.393389,-0.506849
1629810615960,-0.771528,-0.390827,-0.502152
1629810615969,-0.770125,-0.389302,-0.49776
1629810615979,-0.769576,-0.388204,-0.495869
1629810615988,-0.769088,-0.38917999999999997,-0.497272
1629810615998,-0.769576,-0.389729,-0.498004
1629810616008,-0.767868,-0.390034,-0.500993
1629810616017,-0.768234,-0.38917999999999997,-0.502274
1629810616027,-0.76921,-0.390278,-0.502884
1629810616036,-0.768905,-0.391193,-0.502762
1629810616046,-0.769759,-0.391132,-0.502396
1629810616056,-0.768844,-0.390827,-0.501481
1629810616065,-0.769088,-0.392108,-0.499651
1629810616075,-0.769393,-0.39131499999999997,-0.498431
1629810616084,-0.770369,-0.392047,-0.498919
1629810616094,-0.770308,-0.391803,-0.500322
1629810616104,-0.76982,-0.39192499999999997,-0.501176
1629810616113,-0.769515,-0.391742,-0.503189
1629810616123,-0.770369,-0.391437,-0.502762
1629810616132,-0.770064,-0.389973,-0.503189
1629810616142,-0.769881,-0.389668,-0.502274
1629810616152,-0.770491,-0.39039999999999997,-0.502701
1629810616161,-0.769881,-0.389546,-0.502335
1629810616171,-0.771162,-0.389058,-0.50264
1629810616180,-0.769332,-0.38978999999999997,-0.502457
1629810616190,-0.770064,-0.389912,-0.502518
1629810616200,-0.770003,-0.389607,-0.501908
1629810616209,-0.768112,-0.38917999999999997,-0.501847
1629810616219,-0.769332,-0.38613,-0.49946799999999997
1629810616228,-0.770369,-0.38674,-0.499895
1629810616238,-0.769881,-0.387594,-0.50142
1629810616248,-0.772016,-0.388448,-0.506483
1629810616257,-0.772809,-0.387899,-0.507337
1629810616267,-0.772016,-0.387472,-0.506422
1629810616276,-0.772626,-0.386313,-0.504226
1629810616286,-0.772809,-0.38613,-0.501969
1629810616296,-0.77287,-0.386801,-0.500627
1629810616305,-0.772321,-0.387472,-0.501298
1629810616315,-0.771772,-0.386923,-0.501237
1629810616324,-0.772504,-0.387106,-0.502335
1629810616334,-0.771162,-0.387533,-0.503494
1629810616344,-0.77104,-0.386008,-0.503189
1629810616353,-0.771162,-0.386679,-0.503067
1629810616363,-0.770308,-0.386313,-0.503738
1629810616372,-0.77104,-0.386496,-0.504836
1629810616382,-0.769759,-0.386252,-0.504226
1629810616392,-0.770308,-0.38674,-0.503189
1629810616401,-0.769393,-0.386557,-0.503555
1629810616411,-0.769881,-0.386313,-0.503372
1629810616420,-0.769698,-0.386435,-0.503128
1629810616430,-0.769393,-0.38765499999999997,-0.504531
1629810616440,-0.769942,-0.387716,-0.505507
1629810616449,-0.770064,-0.389241,-0.505141
1629810616459,-0.769637,-0.38856999999999997,-0.504775
1629810616468,-0.769149,-0.388326,-0.503738
1629810616478,-0.7686,-0.389119,-0.501725
1629810616488,-0.768356,-0.389851,-0.501237
1629810616497,-0.768661,-0.390522,-0.500932
1629810616507,-0.768356,-0.391498,-0.500566
1629810616516,-0.767807,-0.39222999999999997,-0.501298
1629810616526,-0.769027,-0.393816,-0.500749
1629810616536,-0.769515,-0.393816,-0.500627
1629810616545,-0.768417,-0.393999,-0.499956
1629810616555,-0.767929,-0.393694,-0.49946799999999997
1629810616564,-0.769332,-0.393328,-0.499224
1629810616574,-0.769454,-0.39375499999999997,-0.499712
1629810616584,-0.769637,-0.394182,-0.49959
1629810616593,-0.769332,-0.39375499999999997,-0.5002
1629810616603,-0.769698,-0.393267,-0.499285
1629810616612,-0.770064,-0.393084,-0.5002
1629810616622,-0.770369,-0.391803,-0.501237
1629810616632,-0.771162,-0.391437,-0.500444
1629810616641,-0.771467,-0.391437,-0.500932
1629810616651,-0.77165,-0.39131499999999997,-0.500871
1629810616660,-0.771223,-0.391254,-0.500749
1629810616670,-0.77165,-0.391376,-0.501603
1629810616680,-0.772016,-0.390766,-0.501176
1629810616689,-0.77226,-0.390766,-0.500261
1629810616699,-0.771711,-0.39100999999999997,-0.500871
1629810616708,-0.77165,-0.390766,-0.49946799999999997
1629810616718,-0.770979,-0.391376,-0.499651
1629810616728,-0.771833,-0.39131499999999997,-0.499346
1629810616737,-0.771284,-0.391376,-0.498492
1629810616747,-0.771223,-0.391681,-0.49794299999999997
1629810616756,-0.77165,-0.392901,-0.498797
1629810616766,-0.771467,-0.392657,-0.498736
1629810616776,-0.771772,-0.392962,-0.499041
1629810616785,-0.770613,-0.392352,-0.49824799999999997
1629810616795,-0.770674,-0.39222999999999997,-0.498492
1629810616804,-0.771284,-0.392108,-0.498614
1629810616814,-0.771223,-0.392291,-0.497455
1629810616824,-0.77165,-0.39222999999999997,-0.49824799999999997
