utcTime,eventMarker
1629810595760.0,start_experiment
1629810615826.282,start_baseline
1629810795826.282,end_baseline
1629810811331.155,submit_survey
1629810819128.842,start_crt
1629810889796.9092,start_nback
1629811008096.3162,start_activity
1629811196962.739,end_activity
1629811238197.0762,submit_survey
1629811241593.971,start_crt
1629811309693.881,start_nback
1629811416926.358,start_fatigue
1629811622808.856,end_fatigue
1629811629569.698,submit_survey
1629811633704.9292,start_crt
1629811699405.79,start_nback
1629811749427.5122,end_session
