timestamp,gx,gy,gz
1629810907987,0.7350000000000001,6.3875,10.5875
1629810907997,0.31500000000000006,7.105,12.88
1629810908006,-0.052500000000000005,7.857500000000001,15.260000000000002
1629810908016,-0.6825000000000001,9.450000000000001,17.2725
1629810908026,-1.4875,11.217500000000001,19.1275
1629810908035,-2.2750000000000004,12.88,20.422500000000003
1629810908045,-3.0975,14.682500000000001,21.5425
1629810908054,-3.7275000000000005,16.1525,22.102500000000003
1629810908064,-4.585000000000001,17.535,22.505000000000003
1629810908074,-5.3375,18.2175,22.6975
1629810908083,-6.23,18.69,22.767500000000002
1629810908093,-6.965000000000001,18.655,22.6975
1629810908102,-7.5425,18.585,22.207500000000003
1629810908112,-7.857500000000001,18.1125,21.7175
1629810908122,-8.155000000000001,18.130000000000003,21.175
1629810908131,-8.3825,18.130000000000003,21.14
1629810908141,-8.540000000000001,18.1825,20.965000000000003
1629810908150,-8.645000000000001,18.515,20.755000000000003
1629810908160,-8.4175,18.777500000000003,19.705000000000002
1629810908170,-7.910000000000001,18.585,18.672500000000003
1629810908179,-7.3325000000000005,18.392500000000002,16.835
1629810908189,-6.65,17.955000000000002,14.962500000000002
1629810908198,-5.897500000000001,17.5,12.757500000000002
1629810908208,-5.180000000000001,16.852500000000003,10.832500000000001
1629810908218,-4.4975000000000005,15.837500000000002,8.8025
1629810908227,-3.9200000000000004,14.822500000000002,7.210000000000001
1629810908237,-3.2725000000000004,13.580000000000002,5.390000000000001
1629810908246,-2.6425,12.267500000000002,4.1475
1629810908256,-2.0300000000000002,10.850000000000001,2.5025000000000004
1629810908266,-1.54,9.66,1.0850000000000002
1629810615831,-0.9450000000000001,1.1375000000000002,0.5775
1629810615841,-0.8750000000000001,1.2950000000000002,0.56
1629810615850,-0.8575,1.4875,0.6300000000000001
1629810615860,-0.8575,1.7325000000000002,0.5075000000000001
1629810615870,-0.9625000000000001,1.9075000000000002,0.29750000000000004
1629810615879,-1.12,2.0825,0.3325
1629810615889,-1.2425000000000002,2.0650000000000004,0.6825000000000001
1629810615898,-1.33,2.1700000000000004,0.5425000000000001
1629810615908,-1.3125000000000002,2.3275,0.49000000000000005
1629810615918,-1.3650000000000002,2.3625000000000003,0.7175
1629810615927,-1.3825,2.2225,1.2600000000000002
1629810615937,-1.5050000000000001,2.0300000000000002,1.1025
1629810615946,-1.54,1.6625,0.5425000000000001
1629810615956,-1.5925000000000002,1.1725,-0.0175
1629810615966,-1.6625,0.7000000000000001,0.07
1629810615975,-1.8025000000000002,0.47250000000000003,0.4025
1629810615985,-1.9425000000000001,0.21000000000000002,0.8750000000000001
1629810615994,-2.0475000000000003,0.08750000000000001,1.1900000000000002
1629810616004,-2.0650000000000004,-0.0175,1.2775
1629810616014,-2.0825,-0.08750000000000001,1.05
1629810616023,-2.0650000000000004,0.052500000000000005,0.7875000000000001
1629810616033,-2.1,0.1925,0.49000000000000005
1629810616042,-2.0300000000000002,0.45500000000000007,0.42000000000000004
1629810616052,-2.0650000000000004,0.56,0.35000000000000003
1629810616062,-2.0475000000000003,0.7525000000000001,0.31500000000000006
1629810616071,-1.8200000000000003,0.7350000000000001,0.385
1629810616081,-1.8200000000000003,0.9975,0.56
1629810616090,-1.7675,1.1725,0.805
1629810616100,-1.61,1.4000000000000001,0.805
1629810616110,-1.61,1.435,0.8750000000000001
1629810616119,-1.4700000000000002,1.6450000000000002,0.6825000000000001
1629810616129,-1.4525000000000001,1.9250000000000003,0.7175
1629810616138,-1.3650000000000002,2.0825,0.6475000000000001
1629810616148,-1.33,2.1700000000000004,0.665
1629810616158,-1.2425000000000002,2.205,0.6825000000000001
1629810616167,-1.2075,2.1525000000000003,0.8400000000000001
