timestamp,battery_level_muse,battery_voltage_muse,adc_voltage_muse,temperature_muse
1629894291393,2000,3062,-1,0
1629894301352,2000,3060,-1,0
1629894311353,2000,3038,-1,0
1629894321340,2000,3060,-1,0
1629894331385,2000,3060,-1,0
1629894341393,2000,3062,-1,0
1629894351400,2000,3062,-1,0
1629894361406,2000,3062,-1,0
1629894371387,2000,3042,-1,0
1629894381415,2000,3062,-1,0
1629894391429,2000,3060,-1,0
1629894401423,2000,3060,-1,0
1629894411430,2000,3058,-1,0
1629894421437,2000,3055,-1,0
1629894431484,2000,3058,-1,0
1629894441455,2000,3055,-1,0
1629894451464,2000,3060,-1,0
1629894461465,2000,3053,-1,0
1629894471477,2000,3055,-1,0
1629894481492,2000,3053,-1,0
1629894491497,2000,3055,-1,0
1629894501499,2000,3058,-1,0
1629894511492,1500,3031,-1,0
1629894521539,2000,3058,-1,0
1629894531500,2000,3053,-1,0
1629894541510,2000,3047,-1,0
1629894551509,2000,3060,-1,0
1629894561504,2000,3040,-1,0
1629894571527,2000,3055,-1,0
1629894581533,2000,3051,-1,0
1629894591545,2000,3058,-1,0
1629894601567,2000,3058,-1,0
1629894611570,2000,3058,-1,0
1629894621585,2000,3051,-1,0
1629894631580,2000,3053,-1,0
1629894641560,2000,3053,-1,0
1629894651566,2000,3053,-1,0
1629894661601,2000,3055,-1,0
1629894671600,2000,3058,-1,0
1629894681573,2000,3038,-1,0
1629894691604,2000,3053,-1,0
1629894701605,2000,3051,-1,0
1629894711636,2000,3051,-1,0
1629894721606,2000,3051,-1,0
1629894731633,2000,3049,-1,0
1629894741631,2000,3051,-1,0
1629894751669,2000,3053,-1,0
1629894761663,2000,3053,-1,0
1629894771666,2000,3049,-1,0
1629894781664,2000,3051,-1,0
1629894791652,2000,3053,-1,0
1629894801659,2000,3051,-1,0
1629894811659,2000,3049,-1,0
1629894821690,2000,3038,-1,0
1629894831681,2000,3042,-1,0
1629894841693,2000,3038,-1,0
1629894851686,2000,3049,-1,0
1629894861708,2000,3051,-1,0
1629894871711,2000,3051,-1,0
1629894881745,2000,3051,-1,0
1629894891716,2000,3049,-1,0
1629894901729,2500,3088,-1,0
1629894911767,2000,3051,-1,0
1629894921774,2000,3051,-1,0
1629894931740,2000,3049,-1,0
1629894941770,2000,3047,-1,0
1629894951844,2000,3049,-1,0
1629894961764,2000,3047,-1,0
1629894971800,2000,3047,-1,0
1629894981786,2000,3042,-1,0
1629894991798,2000,3049,-1,0
1629895001802,2000,3049,-1,0
1629895011836,2000,3044,-1,0
1629895021819,2000,3047,-1,0
1629895031824,2000,3047,-1,0
1629895041832,2000,3044,-1,0
1629895051844,2000,3047,-1,0
1629895061853,2000,3044,-1,0
1629895071862,2000,3049,-1,0
1629895081857,2000,3049,-1,0
1629895091894,2000,3049,-1,0
1629895101898,2000,3049,-1,0
1629895111888,2000,3040,-1,0
1629895121878,2000,3042,-1,0
1629895131892,2000,3049,-1,0
1629895141904,2000,3044,-1,0
1629895151889,2000,3044,-1,0
1629895161925,2000,3042,-1,0
1629895171901,1500,3031,-1,0
1629895181895,2000,3038,-1,0
1629895191912,2000,3047,-1,0
1629895201946,2000,3044,-1,0
1629895212001,2000,3044,-1,0
1629895221987,2000,3047,-1,0
1629895231960,2000,3042,-1,0
1629895241980,2000,3049,-1,0
1629895251951,2000,3042,-1,0
1629895261955,2000,3042,-1,0
1629895271967,2000,3040,-1,0
1629895281975,2000,3040,-1,0
1629895292009,1000,3018,-1,0
1629895301999,2000,3044,-1,0
1629895311990,2000,3040,-1,0
1629895322002,2000,3044,-1,0
1629895332023,2000,3040,-1,0
1629895342004,2000,3040,-1,0
1629895352010,2000,3040,-1,0
1629895362032,2000,3040,-1,0
1629895372020,1000,3016,-1,0
1629895382029,1500,3031,-1,0
1629895392031,1500,3031,-1,0
