utcTime,eventMarker
1629894267439.0,start_experiment
1629894289778.182,start_baseline
1629894469778.182,end_baseline
1629894481574.052,submit_survey
1629894487476.6,start_crt
1629894557676.2322,start_nback
1629894650842.717,start_activity
1629894830644.885,end_activity
1629894851289.396,submit_survey
1629894855009.1038,start_crt
1629894924643.402,start_nback
1629895006972.0059,start_fatigue
1629895260428.6233,end_fatigue
1629895270767.266,submit_survey
1629895275027.134,start_crt
1629895343824.836,start_nback
1629895393828.1309,end_session
