timestamp,gx,gy,gz
1629709552384,-0.9100000000000001,0.5950000000000001,0.36750000000000005
1629709552393,-0.6475000000000001,1.225,0.14
1629709552403,-0.5425000000000001,0.8925000000000001,-0.31500000000000006
1629709552412,-0.6125,0.17500000000000002,-0.8575
1629709552422,-0.7525000000000001,0.0,-1.4000000000000001
1629709552432,-0.6475000000000001,-0.5950000000000001,-1.6625
1629709552441,-0.525,-0.8575,-1.8025000000000002
1629709552451,-0.17500000000000002,-0.5075000000000001,-2.0125
1629709552460,0.385,-0.10500000000000001,-2.2750000000000004
1629709552470,1.1900000000000002,-0.14,-2.5200000000000005
1629709552480,2.0650000000000004,0.052500000000000005,-2.8000000000000003
1629709552489,2.7475,0.6825000000000001,-3.2375000000000003
1629709552499,3.0975,0.7525000000000001,-3.4475000000000002
1629709552508,3.3075,1.2075,-3.6925000000000003
1629709552518,3.08,1.2075,-3.7975000000000003
1629709552528,2.7300000000000004,1.12,-3.7275000000000005
1629709552537,2.555,1.2950000000000002,-3.8150000000000004
1629709552547,2.205,1.1725,-3.5875000000000004
1629709552556,2.0650000000000004,1.715,-3.5175000000000005
1629709552566,1.9250000000000003,2.2750000000000004,-3.325
1629709552576,1.8550000000000002,2.5900000000000003,-3.08
1629709552585,1.9425000000000001,2.9925,-2.8000000000000003
1629709552595,2.1,3.22,-2.3625000000000003
1629709552604,2.2575000000000003,2.9050000000000002,-1.995
1629709552614,2.31,2.4675000000000002,-1.5225000000000002
1629709552624,2.5375,2.31,-1.05
1629709552633,2.8000000000000003,2.2750000000000004,-0.5775
1629709552643,2.8525000000000005,2.2575000000000003,0.052500000000000005
1629709552652,3.0450000000000004,2.345,0.77
1629709552662,3.3075,2.2225,1.3125000000000002
1629709552672,3.4475000000000002,1.54,1.8725000000000003
1629708999001,-0.35000000000000003,-0.49000000000000005,0.6125
1629708999010,-0.47250000000000003,-0.6300000000000001,0.7175
1629708999020,-0.42000000000000004,-0.7525000000000001,0.7000000000000001
1629708999029,-0.45500000000000007,-0.7175,0.6825000000000001
1629708999039,-0.3325,-0.665,0.7525000000000001
1629708999049,-0.24500000000000002,-0.5950000000000001,0.6825000000000001
1629708999058,-0.10500000000000001,-0.43750000000000006,0.6475000000000001
1629708999068,-0.052500000000000005,-0.31500000000000006,0.6825000000000001
1629708999077,-0.0175,-0.2625,0.6125
1629708999087,0.08750000000000001,-0.22750000000000004,0.5950000000000001
1629708999097,0.07,-0.15750000000000003,0.56
1629708999106,0.0175,-0.08750000000000001,0.5425000000000001
1629708999116,-0.035,-0.0175,0.5075000000000001
1629708999125,-0.15750000000000003,0.035,0.525
1629708999135,-0.29750000000000004,-0.08750000000000001,0.56
