,timestamp,gx,gy,gz
6689,1629708999040,4.792633056640625,-2.923431396484375,4.32159423828125
6690,1629708999040,4.964599609375,-3.641204833984375,4.119720458984375
6693,1629708999040,5.211334228515625,-3.66363525390625,3.69354248046875
6688,1629708999072,5.301055908203125,-3.9178466796875,3.4393310546875
6691,1629708999072,5.465545654296875,-3.701019287109375,3.476715087890625
6692,1629708999072,5.495452880859375,-3.69354248046875,3.327178955078125
6694,1629708999134,5.256195068359375,-3.409423828125,3.36456298828125
6695,1629708999134,4.97955322265625,-3.03558349609375,3.087921142578125
6696,1629708999150,4.822540283203125,-3.409423828125,3.372039794921875
6698,1629708999181,4.658050537109375,-3.312225341796875,3.4393310546875
6699,1629708999181,4.822540283203125,-2.91595458984375,3.9178466796875
6697,1629708999181,4.7552490234375,-2.91595458984375,3.611297607421875
6700,1629708999259,4.942169189453125,-2.714080810546875,3.790740966796875
6701,1629708999259,4.725341796875,-2.803802490234375,4.029998779296875
6702,1629708999259,4.987030029296875,-2.818756103515625,3.925323486328125
6703,1629708999353,5.4730224609375,-2.930908203125,3.81317138671875
6704,1629708999353,5.286102294921875,-2.908477783203125,3.775787353515625
6705,1629708999353,5.121612548828125,-2.61688232421875,3.66363525390625
6706,1629708999368,5.241241455078125,-3.09539794921875,3.7982177734375
6707,1629708999368,4.508514404296875,-3.058013916015625,3.828125
6708,1629708999368,4.74029541015625,-3.22998046875,3.865509033203125
6710,1629708999415,4.88983154296875,-3.401947021484375,3.5589599609375
6709,1629708999415,5.659942626953125,-3.327178955078125,3.78326416015625
6711,1629708999415,5.405731201171875,-3.058013916015625,3.671112060546875
6713,1629708999493,5.24871826171875,-3.15521240234375,3.282318115234375
6712,1629708999493,5.443115234375,-3.1402587890625,3.192596435546875
6714,1629708999509,5.57769775390625,-3.409423828125,3.409423828125
6715,1629708999603,4.807586669921875,-2.265472412109375,3.581390380859375
6716,1629708999603,5.435638427734375,-3.058013916015625,3.641204833984375
6717,1629708999603,5.151519775390625,-2.94586181640625,3.760833740234375
6718,1629708999650,5.14404296875,-1.786956787109375,3.132781982421875
6719,1629708999650,4.9945068359375,-2.175750732421875,3.461761474609375
6720,1629708999650,5.241241455078125,-1.92901611328125,3.22998046875
6724,1629708999712,5.630035400390625,-2.115936279296875,4.179534912109375
6721,1629708999712,5.450592041015625,-1.712188720703125,3.33465576171875
6722,1629708999712,5.45806884765625,-2.250518798828125,4.1571044921875
6723,1629708999712,5.749664306640625,-1.54022216796875,3.42437744140625
6725,1629708999712,5.525360107421875,-1.712188720703125,4.02252197265625
6726,1629708999728,5.585174560546875,-1.801910400390625,3.342132568359375
6727,1629708999775,5.630035400390625,-2.7813720703125,4.015045166015625
6728,1629708999775,5.7122802734375,-2.848663330078125,3.701019287109375
6729,1629708999775,5.570220947265625,-2.8411865234375,4.007568359375
6730,1629708999837,5.450592041015625,-2.1234130859375,3.955230712890625
6731,1629708999837,5.630035400390625,-2.280426025390625,3.970184326171875
6732,1629708999837,5.45806884765625,-2.459869384765625,3.970184326171875
6733,1629708999900,4.85992431640625,-2.340240478515625,4.329071044921875
6734,1629708999900,5.241241455078125,-2.175750732421875,3.93280029296875
6735,1629708999900,5.18890380859375,-1.92901611328125,4.134674072265625
6737,1629708999962,5.27862548828125,-2.564544677734375,3.880462646484375
6738,1629708999962,5.570220947265625,-2.27294921875,4.0673828125
6736,1629708999962,5.323486328125,-2.175750732421875,3.985137939453125
6741,1629708999996,5.241241455078125,-2.699127197265625,3.78326416015625
6739,1629708999996,5.42816162109375,-2.3626708984375,4.0374755859375
6740,1629708999996,5.5328369140625,-3.289794921875,3.60382080078125
6742,1629709000059,5.24871826171875,-2.056121826171875,4.007568359375
6743,1629709000059,5.5926513671875,-3.252410888671875,3.78326416015625
6744,1629709000059,5.345916748046875,-2.4224853515625,3.5589599609375
6748,1629709000137,5.2935791015625,-2.31781005859375,3.865509033203125
6749,1629709000137,5.4132080078125,-2.10845947265625,3.75335693359375
6750,1629709000137,5.405731201171875,-2.579498291015625,3.768310546875
6745,1629709000184,5.794525146484375,-2.594451904296875,3.768310546875
6746,1629709000184,5.4730224609375,-2.654266357421875,3.820648193359375
6747,1629709000184,5.63751220703125,-2.669219970703125,3.985137939453125
6753,1629709000262,5.465545654296875,-2.55706787109375,4.194488525390625
6752,1629709000262,5.51788330078125,-1.95892333984375,3.84307861328125
6751,1629709000262,5.510406494140625,-2.213134765625,4.059906005859375
6754,1629709000324,5.644989013671875,-1.65985107421875,4.089813232421875
6755,1629709000324,5.405731201171875,-2.01873779296875,4.089813232421875
6756,1629709000324,5.54779052734375,-1.891632080078125,4.0673828125
6757,1629709000356,5.585174560546875,-1.86920166015625,3.94775390625
6758,1629709000356,5.674896240234375,-1.742095947265625,4.000091552734375
6759,1629709000356,5.360870361328125,-1.8243408203125,4.358978271484375
6760,1629709000434,5.21881103515625,-1.921539306640625,3.805694580078125
6761,1629709000434,5.21881103515625,-2.235565185546875,3.865509033203125
6762,1629709000434,5.15899658203125,-2.056121826171875,3.940277099609375
6765,1629709000481,5.869293212890625,-2.444915771484375,3.96270751953125
6764,1629709000481,5.465545654296875,-2.25799560546875,3.66363525390625
6763,1629709000481,6.108551025390625,-2.093505859375,3.9178466796875
6766,1629709000559,5.316009521484375,-2.459869384765625,3.6187744140625
6767,1629709000559,5.779571533203125,-2.205657958984375,3.4991455078125
6768,1629709000559,5.5029296875,-2.43743896484375,3.222503662109375
6769,1629709000590,5.345916748046875,-2.355194091796875,3.835601806640625
6770,1629709000590,5.2337646484375,-1.786956787109375,3.596343994140625
6771,1629709000590,5.12908935546875,-2.295379638671875,4.127197265625
6775,1629709000653,5.480499267578125,-0.0,3.5888671875
6776,1629709000668,5.929107666015625,-1.443023681640625,3.252410888671875
6773,1629709000684,5.794525146484375,-1.79443359375,3.476715087890625
6774,1629709000699,5.869293212890625,-1.57012939453125,3.1103515625
6772,1629709000699,5.1141357421875,-1.383209228515625,3.2598876953125
6777,1629709000699,5.585174560546875,-1.51031494140625,2.998199462890625
6778,1629709000793,5.4730224609375,-1.1065673828125,3.342132568359375
6779,1629709000793,5.72723388671875,-0.695343017578125,3.446807861328125
6780,1629709000793,6.08612060546875,-0.785064697265625,3.476715087890625
6781,1629709000871,5.630035400390625,0.426177978515625,4.074859619140625
6784,1629709000871,6.557159423828125,-0.49346923828125,3.42437744140625
6786,1629709000871,6.123504638671875,0.112152099609375,3.760833740234375
6782,1629709000902,4.94964599609375,0.575714111328125,3.566436767578125
6783,1629709000902,5.375823974609375,0.246734619140625,3.93280029296875
6785,1629709000902,5.046844482421875,0.70281982421875,3.940277099609375
6788,1629709001012,4.987030029296875,-0.426177978515625,1.65985107421875
6787,1629709001014,5.0244140625,-1.03179931640625,1.368255615234375
6793,1629709001030,4.972076416015625,0.5682373046875,3.327178955078125
6792,1629709001030,5.166473388671875,-1.413116455078125,1.30096435546875
6789,1629709001030,4.927215576171875,0.52337646484375,2.61688232421875
6791,1629709001030,4.942169189453125,0.31402587890625,2.01873779296875
6790,1629709001061,5.5328369140625,-2.0037841796875,1.62994384765625
6794,1629709001077,5.24871826171875,-1.428070068359375,1.487884521484375
6795,1629709001077,5.525360107421875,-1.60003662109375,1.472930908203125
6796,1629709001139,5.405731201171875,-2.011260986328125,2.31781005859375
6797,1629709001139,5.196380615234375,-1.861724853515625,3.03558349609375
6798,1629709001139,5.211334228515625,-2.07855224609375,2.684173583984375
6799,1629709001217,4.9945068359375,-1.435546875,3.60382080078125
6800,1629709001233,4.957122802734375,-1.06170654296875,3.6187744140625
6801,1629709001233,5.106658935546875,-0.76263427734375,3.521575927734375
6803,1629709001264,5.480499267578125,-1.1065673828125,3.715972900390625
6804,1629709001264,5.749664306640625,-1.383209228515625,3.611297607421875
6802,1629709001264,5.1141357421875,-0.785064697265625,3.66363525390625
6805,1629709001374,5.45806884765625,-1.48040771484375,3.416900634765625
6806,1629709001374,5.644989013671875,-1.308441162109375,3.42437744140625
6809,1629709001374,5.630035400390625,-1.36077880859375,3.521575927734375
6807,1629709001389,5.719757080078125,-1.30096435546875,3.24493408203125
6808,1629709001389,5.704803466796875,-1.891632080078125,3.372039794921875
6810,1629709001389,5.659942626953125,-1.816864013671875,3.349609375
6811,1629709001405,5.4730224609375,-1.5850830078125,3.349609375
6813,1629709001420,5.562744140625,-1.6748046875,3.72344970703125
6812,1629709001420,5.5328369140625,-1.77947998046875,3.401947021484375
6815,1629709001514,5.420684814453125,-1.79443359375,3.0206298828125
6816,1629709001514,5.203857421875,-1.637420654296875,3.050537109375
6814,1629709001514,5.48797607421875,-1.614990234375,3.058013916015625
6819,1629709001577,5.884246826171875,-1.973876953125,3.30474853515625
6820,1629709001577,5.884246826171875,-1.742095947265625,3.18511962890625
6821,1629709001577,5.51788330078125,-1.6748046875,3.18511962890625
6822,1629709001577,5.764617919921875,-1.801910400390625,3.028106689453125
6817,1629709001592,5.6524658203125,-1.368255615234375,3.237457275390625
6818,1629709001592,5.7421875,-2.04864501953125,2.9010009765625
6823,1629709001655,5.510406494140625,-1.256103515625,3.09539794921875
6824,1629709001670,5.27862548828125,-0.37384033203125,3.506622314453125
