,timestamp,is_touching
1299,1629708999040,1
1300,1629708999181,1
1301,1629708999259,1
1302,1629708999368,1
1303,1629708999462,1
1304,1629708999587,1
1305,1629708999665,1
1306,1629708999775,1
1307,1629708999900,1
1308,1629708999962,1
1309,1629709000043,1
1311,1629709000153,1
1310,1629709000215,1
1312,1629709000387,1
1313,1629709000449,1
1314,1629709000559,1
1315,1629709000684,1
1316,1629709000746,1
1317,1629709000887,1
1318,1629709001030,1
1319,1629709001077,1
1320,1629709001139,1
1321,1629709001280,1
1322,1629709001374,1
1323,1629709001483,1
1324,1629709001592,1
1325,1629709001717,1
1326,1629709001827,1
1327,1629709001873,1
1328,1629709002014,1
1329,1629709002045,1
1330,1629709002237,1
1332,1629709002362,1
1331,1629709002378,1
1333,1629709002471,1
1334,1629709002596,1
1335,1629709002690,1
1336,1629709002815,1
1337,1629709002927,1
1338,1629709003036,1
1339,1629709003099,1
1340,1629709003208,1
1341,1629709003286,1
1342,1629709003442,1
1343,1629709003474,1
1344,1629709003645,1
1345,1629709003723,1
1346,1629709003817,1
1347,1629709003913,1
1348,1629709004022,1
1349,1629709004116,1
1350,1629709004194,1
1351,1629709004381,1
1352,1629709004397,1
1353,1629709004475,1
1354,1629709004663,1
1355,1629709004772,1
1356,1629709004819,1
1357,1629709004898,1
1358,1629709004993,1
1359,1629709005134,1
1360,1629709005274,1
1361,1629709005384,1
1362,1629709005477,1
1363,1629709005524,1
1364,1629709005649,1
1365,1629709005759,1
1366,1629709005821,1
1367,1629709005942,1
1368,1629709006028,1
1369,1629709006199,1
1370,1629709006277,1
1371,1629709006340,1
1372,1629709006465,1
1373,1629709006559,1
1374,1629709006668,1
1375,1629709006762,1
1376,1629709006824,1
1377,1629709006921,1
1378,1629709007109,1
1379,1629709007140,1
1380,1629709007249,1
1381,1629709007362,1
1382,1629709007471,1
1383,1629709007549,1
1384,1629709007674,1
1385,1629709007770,1
1386,1629709007864,1
1387,1629709008005,1
1388,1629709008036,1
1389,1629709008176,1
1390,1629709008286,1
1391,1629709008379,1
1392,1629709008489,1
1393,1629709008583,1
1394,1629709008676,1
1395,1629709008754,1
1396,1629709008929,1
