,timestamp,ax,ay,az
6694,1629708999025,-0.47540283203125,0.0596923828125,0.863037109375
6695,1629708999040,-0.47283935546875,0.06109619140625,0.8668212890625
6699,1629708999040,-0.472412109375,0.0616455078125,0.86553955078125
6696,1629708999072,-0.4725341796875,0.05706787109375,0.86962890625
6697,1629708999072,-0.47039794921875,0.05828857421875,0.87054443359375
6698,1629708999072,-0.467041015625,0.0609130859375,0.86517333984375
6700,1629708999150,-0.468994140625,0.05413818359375,0.869873046875
6701,1629708999150,-0.46881103515625,0.0555419921875,0.87030029296875
6702,1629708999150,-0.47198486328125,0.054443359375,0.86981201171875
6704,1629708999181,-0.46954345703125,0.05718994140625,0.87066650390625
6705,1629708999181,-0.46978759765625,0.05712890625,0.8690185546875
6703,1629708999181,-0.469482421875,0.05328369140625,0.871337890625
6706,1629708999275,-0.4686279296875,0.05615234375,0.86724853515625
6707,1629708999275,-0.468505859375,0.05548095703125,0.8695068359375
6708,1629708999275,-0.46783447265625,0.0545654296875,0.86993408203125
6709,1629708999353,-0.46728515625,0.05596923828125,0.86712646484375
6710,1629708999353,-0.47052001953125,0.05474853515625,0.86981201171875
6711,1629708999353,-0.47003173828125,0.05682373046875,0.867919921875
6712,1629708999368,-0.47161865234375,0.05078125,0.8656005859375
6713,1629708999368,-0.4691162109375,0.056884765625,0.86688232421875
6714,1629708999368,-0.4698486328125,0.0501708984375,0.86920166015625
6715,1629708999415,-0.46734619140625,0.05816650390625,0.8719482421875
6716,1629708999415,-0.466552734375,0.0546875,0.87103271484375
6717,1629708999431,-0.46942138671875,0.05010986328125,0.8695068359375
6718,1629708999493,-0.46502685546875,0.05194091796875,0.87396240234375
6719,1629708999493,-0.4677734375,0.059326171875,0.87353515625
6720,1629708999493,-0.467529296875,0.05523681640625,0.87158203125
6721,1629708999587,-0.46807861328125,0.05438232421875,0.87542724609375
6722,1629708999587,-0.46832275390625,0.05224609375,0.87164306640625
6723,1629708999603,-0.4688720703125,0.05474853515625,0.8717041015625
6724,1629708999665,-0.4678955078125,0.04827880859375,0.870849609375
6725,1629708999665,-0.467041015625,0.0540771484375,0.87518310546875
6726,1629708999665,-0.463623046875,0.0535888671875,0.8743896484375
6728,1629708999712,-0.47088623046875,0.0526123046875,0.8671875
6729,1629708999712,-0.471435546875,0.04827880859375,0.8690185546875
6727,1629708999712,-0.466552734375,0.0484619140625,0.8702392578125
6730,1629708999728,-0.46783447265625,0.0546875,0.86468505859375
6731,1629708999728,-0.47479248046875,0.04754638671875,0.86932373046875
6732,1629708999728,-0.47027587890625,0.05120849609375,0.86627197265625
6733,1629708999775,-0.4739990234375,0.05560302734375,0.87103271484375
6734,1629708999775,-0.4666748046875,0.05377197265625,0.86798095703125
6735,1629708999775,-0.47113037109375,0.05548095703125,0.86639404296875
6736,1629708999884,-0.4705810546875,0.05487060546875,0.87109375
6737,1629708999884,-0.4683837890625,0.0496826171875,0.8701171875
6738,1629708999884,-0.47216796875,0.0560302734375,0.87176513671875
6740,1629708999931,-0.46923828125,0.05560302734375,0.87005615234375
6739,1629708999931,-0.4688720703125,0.0543212890625,0.86810302734375
6741,1629708999931,-0.472412109375,0.05291748046875,0.86865234375
6744,1629708999964,-0.4716796875,0.05462646484375,0.86932373046875
6743,1629708999967,-0.46844482421875,0.0560302734375,0.86663818359375
