utcTime,eventMarker
1630415889110.0,start_experiment
1630415911986.883,start_baseline
1630416091986.883,end_baseline
1630416117389.547,submit_survey
1630416134474.5942,start_crt
1630416216953.501,start_nback
1630416313138.784,start_activity
1630416493520.069,end_activity
1630416517814.052,submit_survey
1630416522338.1929,start_crt
1630416589852.749,start_nback
1630416704818.1008,start_fatigue
1630416894107.053,end_fatigue
1630416908207.4658,submit_survey
1630416913323.0022,start_crt
1630416979122.426,start_nback
1630417029135.586,end_session
