trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
269.8899123,271.1308962,0.3,period,period,1,1.903090256,0,0
271.8311002,273.2179408,0.1,comma,comma,1,2.001762023,1,0
273.882629,275.0977481,0.3,period,period,1,1.842201725,2,0
275.7620839,277.0179302,0.3,period,period,1,1.868610945,3,0
277.682761,278.8506936,0.3,period,period,1,1.707847498,4,0
279.4289393,280.5308201,0.1,comma,comma,1,1.629805405,5,0
281.0935112,282.3642555,-0.3,z,z,1,1.796035475,6,0
282.9290791,283.9498179,-0.1,x,x,1,1.561367171,7,0
284.5275605,285.6969855,-0.3,z,z,1,1.710824593,8,0
286.281701,287.5844341,-0.3,z,z,1,1.815604204,9,0
288.1490481,289.3502542,0.1,comma,comma,1,1.706165691,10,0
289.8921892,291.0842819,-0.1,x,x,1,1.622948102,11,0
291.5494554,292.5966792,0.1,comma,comma,1,1.570601752,12,0
293.1600569,294.5639545,0.3,period,period,1,1.870034029,13,0
295.0620015,296.1640719,-0.3,z,z,1,1.583859836,14,0
296.6810818,297.7639262,0.3,period,period,1,1.628720297,15,0
298.3476527,299.4166793,0.1,comma,comma,1,1.529164622,16,0
299.9143747,301.18426,0.1,comma,comma,1,1.751294467,17,0
301.7149084,302.8632915,-0.3,z,z,1,1.601714474,18,0
303.3475133,304.4972397,-0.1,x,x,1,1.64304826,19,0
305.0262433,306.1633036,0.3,period,period,1,1.55013228,20,0
306.615246,307.8965795,-0.3,z,z,1,1.699087192,21,0
308.3472343,309.4298279,0.1,comma,comma,1,1.58406716,22,0
309.9821615,311.0970382,-0.1,x,x,1,1.634120739,23,0
311.647426,312.9969677,-0.1,x,x,1,1.897719962,24,0
313.5833662,314.7969631,0.1,comma,comma,1,1.782766483,25,0
315.4136236,316.7171188,-0.3,z,z,1,1.74036568,26,0
317.1932016,318.2505639,0.3,period,period,1,1.606784312,27,0
318.8472869,320.1631226,-0.1,x,x,1,1.786567261,28,0
320.6797817,321.8965499,0.3,period,period,1,1.660018112,29,0
322.3801996,323.4835021,-0.1,x,x,1,1.663513514,30,0
324.0832131,325.3967261,0.1,comma,comma,1,1.7434387,31,0
325.862155,327.1301765,-0.3,z,z,1,1.686397045,32,0
327.5797528,328.9300423,-0.1,x,x,1,1.776720158,33,0
329.3926113,330.5504853,-0.3,z,z,1,1.609706347,34,0
331.0458953,332.4966523,-0.1,x,x,1,2.016441454,35,0
613.4180469,614.6308745,-0.1,x,x,1,1.708148971,0,1
615.1632891,616.2305391,0.1,comma,comma,1,1.536808551,1,1
616.7480593,617.9179842,-0.1,x,x,1,1.680980039,2,1
618.4609788,619.5642598,-0.1,x,x,1,1.575202064,3,1
620.0802459,621.1641518,0.3,period,period,1,1.525701153,4,1
621.6461392,622.8180696,0.1,comma,comma,1,1.570640347,5,1
623.2598991,624.4176829,-0.1,x,x,1,1.61586516,6,1
624.9145625,626.1503494,0.3,period,period,1,1.654067574,7,1
626.6116484,627.897085,-0.1,x,x,1,1.689885563,8,1
628.3455402,629.6512665,-0.3,z,z,1,1.750101981,9,1
630.1268304,631.2174543,0.1,comma,comma,1,1.532692248,10,1
631.698377,632.7641436,0.1,comma,comma,1,1.497026379,11,1
633.2263614,634.7307194,-0.3,z,z,1,1.966077947,12,1
635.2283262,636.4510905,-0.3,z,z,1,1.632888672,13,1
636.8930501,638.0971606,0.3,period,period,1,1.655142563,14,1
638.5801817,639.9304658,0.3,period,period,1,1.734032374,15,1
640.3474982,641.4511718,0.3,period,period,1,1.535616567,16,1
641.9150879,643.0509707,0.1,comma,comma,1,1.546891342,17,1
643.4984933,644.850713,0.1,comma,comma,1,1.753460341,18,1
645.2943351,646.4305677,-0.3,z,z,1,1.550505899,19,1
646.8798356,648.2636024,-0.3,z,z,1,1.799873545,20,1
648.7141253,649.797417,-0.3,z,z,1,1.475575612,21,1
650.2264063,651.463963,0.3,period,period,1,1.617206172,22,1
651.8810004,653.0510193,-0.3,z,z,1,1.63145071,23,1
653.5497727,654.717437,0.1,comma,comma,1,1.583663384,24,1
655.1795514,656.3634496,0.1,comma,comma,1,1.606836891,25,1
656.8257514,658.0638959,0.1,comma,comma,1,1.625435677,26,1
658.4956152,659.9840228,0.3,period,period,1,1.953566643,27,1
660.4796224,661.8967289,-0.1,x,x,1,1.844441026,28,1
662.3597161,663.6499711,-0.1,x,x,1,1.688273732,29,1
664.081039,665.3638554,0.3,period,period,1,1.710938808,30,1
665.8260513,666.9507455,-0.3,z,z,1,2.086181562,31,1
667.9456974,669.1840208,-0.1,x,x,1,1.664069243,32,1
669.647409,670.9961515,0.3,period,period,1,1.790249977,33,1
671.4782061,672.7633782,-0.1,x,x,1,1.825682576,34,1
673.3475867,674.5632379,-0.3,z,z,1,1.607138649,35,1
1221.724007,1223.105404,-0.3,z,z,1,2.754216394,0,2
1224.52531,1225.906017,-0.3,z,z,1,1.934648796,1,2
1226.501587,0.3,0.3,period,x,0,0.223375433,2,2
