trialStartTime,trialEndTime,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
270.2155951,270.7227777,K,None,None,1,,0,0
272.7214928,273.2350317,R,None,None,1,,1,0
275.2045665,275.7022108,B,None,None,1,,2,0
277.704963,278.2022855,H,None,None,1,,3,0
280.2034338,280.702087,B,m,m,1,0.509149596,4,0
282.7055063,283.202098,X,None,None,1,,5,0
285.2042151,285.7016397,F,None,None,1,,6,0
287.7043349,288.2020113,Q,None,None,1,,7,0
290.2048077,290.7021352,M,None,None,1,,8,0
292.7033317,293.2019479,Q,m,m,1,0.739065439,9,0
295.2042437,295.7174919,H,None,None,1,,10,0
297.7040575,298.2017686,R,None,None,1,,11,0
300.2028217,300.7018498,Q,None,None,1,,12,0
302.7048133,303.2018377,F,None,None,1,,13,0
305.202457,305.7017858,B,None,None,1,,14,0
307.7048006,308.2018409,F,m,m,1,0.926876856,15,0
310.2044081,310.7027081,K,None,None,1,,16,0
312.7046516,313.2017232,X,None,None,1,,17,0
315.2047868,315.7016862,K,m,None,0,,18,0
317.7016841,318.2016451,M,None,None,1,,19,0
692.3097391,692.8169832,B,None,None,1,,0,1
694.8170896,695.3298989,M,None,None,1,,1,1
697.3160435,697.829967,F,None,None,1,,2,1
699.8159679,700.3298706,R,None,None,1,,3,1
702.3160361,702.8298,H,None,None,1,,4,1
704.8160428,705.3297549,R,m,None,0,,5,1
707.3161416,707.8297239,K,None,None,1,,6,1
709.8157834,710.3295171,Q,None,None,1,,7,1
712.3162309,712.8297189,X,None,None,1,,8,1
714.8172371,715.3291777,M,None,None,1,,9,1
717.3158467,717.8296344,Q,None,None,1,,10,1
719.8158319,720.3295601,M,m,None,0,,11,1
722.3268999,722.8295236,K,None,None,1,,12,1
724.8154965,725.3295929,R,None,None,1,,13,1
727.3166006,727.8296188,X,None,None,1,,14,1
729.8154034,730.3293977,B,None,None,1,,15,1
732.3157782,732.8293623,X,m,None,0,,16,1
734.8157106,735.3293046,H,None,None,1,,17,1
737.3156771,737.8292709,F,None,None,1,,18,1
739.8153666,740.3292597,H,m,None,0,,19,1
1298.169789,1298.671836,X,None,None,1,,0,2
1300.658187,1301.171716,M,None,None,1,,1,2
1303.169015,1303.671672,Q,None,None,1,,2,2
1305.658545,1306.171059,R,None,None,1,,3,2
1308.172342,1308.671602,B,None,None,1,,4,2
1310.67452,1311.171684,H,None,None,1,,5,2
1313.172627,1313.671643,B,m,m,1,0.686885175,6,2
1315.671804,1316.171509,F,None,None,1,,7,2
1318.173458,1318.671437,K,None,None,1,,8,2
1320.658312,1321.170959,Q,None,None,1,,9,2
1323.17445,1323.671379,K,m,m,1,0.513682603,10,2
1325.673562,1326.171409,B,None,None,1,,11,2
1328.174252,1328.670983,R,None,None,1,,12,2
1330.674057,1331.171517,X,None,None,1,,13,2
1333.173525,1333.670827,R,m,m,1,0.45632191,14,2
1335.674056,1336.171308,H,None,None,1,,15,2
1338.173554,1338.671159,F,None,None,1,,16,2
1340.673366,1341.171121,H,m,m,1,0.430625159,17,2
1343.17201,1343.671187,M,None,None,1,,18,2
1345.673329,1346.171116,K,None,None,1,,19,2
