timestamp,hr,br,posture,hr_confidence,hrv,is_hr_unreliable,is_br_unreliable,is_hrv_unreliable
1630067052460,72,21.0,-167,100,,0,0,0
1630067053460,68,21.0,-167,100,,0,0,0
1630067054460,66,21.0,-167,100,,0,0,0
1630067055460,69,21.0,-167,100,,0,0,0
1630067056460,70,21.0,-167,100,,0,0,0
1630067057460,69,21.0,-167,100,,0,0,0
1630067058460,68,21.0,-167,100,,0,0,0
1630067059460,67,21.0,-168,100,,0,0,0
1630067060460,69,21.0,-169,100,,0,0,0
1630067061460,74,21.0,-169,100,,0,0,0
1630067062460,77,21.0,-169,100,,0,0,0
1630067063460,78,21.0,-168,100,,0,0,0
1630067064460,78,21.0,-168,100,,0,0,0
1630067065460,76,21.0,-168,100,,0,0,0
1630067066460,75,20.0,-168,100,,0,0,0
1630067067460,72,20.0,-168,100,,0,0,0
1630067068460,65,20.0,-168,100,,0,0,0
1630067069460,63,20.0,-168,100,,0,0,0
1630067070460,66,19.0,-168,100,,0,0,0
1630067071460,70,19.0,-168,100,,0,0,0
1630067072460,72,19.0,-168,100,,0,0,0
1630067073460,70,19.0,-168,100,,0,0,0
1630067074460,70,19.0,-169,100,,0,0,0
1630067075460,67,19.0,-169,100,,0,0,0
1630067076460,64,18.0,-169,100,,0,0,0
1630067077460,63,18.0,-169,100,,0,0,0
1630067078460,63,18.0,-169,100,,0,0,0
1630067079460,67,18.0,-169,100,,0,0,0
1630067080460,70,17.0,-169,100,,0,0,0
1630067081460,71,17.0,-169,100,,0,0,0
1630067082460,72,17.0,-169,100,,0,0,0
1630067083460,73,17.0,-169,100,94.0,0,0,0
1630067084460,70,17.0,-169,100,94.0,0,0,0
1630067085460,68,17.0,-169,100,94.0,0,0,0
1630067086460,68,17.0,-169,100,94.0,0,0,0
1630067087460,68,17.0,-169,100,94.0,0,0,0
1630067088460,67,17.0,-169,100,94.0,0,0,0
1630067089460,66,17.0,-169,100,94.0,0,0,0
1630067090460,67,17.0,-169,100,95.0,0,0,0
1630067091460,66,17.0,-169,100,95.0,0,0,0
1630067092460,66,18.0,-169,100,96.0,0,0,0
1630067093460,66,18.0,-169,100,96.0,0,0,0
1630067094460,67,18.0,-169,100,96.0,0,0,0
1630067095460,67,18.0,-169,100,96.0,0,0,0
1630067096460,67,18.0,-169,100,96.0,0,0,0
1630067097460,68,18.0,-169,100,97.0,0,0,0
1630067098460,67,18.0,-169,100,97.0,0,0,0
1630067099460,68,18.0,-169,100,97.0,0,0,0
1630067100460,70,18.0,-169,100,97.0,0,0,0
1630067101460,71,18.0,-169,100,97.0,0,0,0
1630067102460,71,18.0,-170,100,97.0,0,0,0
1630067103460,72,18.0,-170,100,97.0,0,0,0
1630067104460,69,18.0,-169,100,97.0,0,0,0
1630067105460,66,18.0,-169,100,98.0,0,0,0
1630067106460,62,18.0,-169,100,99.0,0,0,0
1630067107460,63,18.0,-169,100,99.0,0,0,0
1630067108460,66,18.0,-169,100,99.0,0,0,0
1630067109460,70,18.0,-169,100,99.0,0,0,0
1630067110460,72,18.0,-169,100,99.0,0,0,0
