utcTime,eventMarker
1630067026506.0,start_experiment
1630067051815.808,start_baseline
1630067231815.808,end_baseline
1630067240743.916,submit_survey
1630067245582.243,start_crt
1630067315649.482,start_nback
1630067419569.4312,start_activity
1630067599886.078,end_activity
1630067635512.812,submit_survey
1630067640952.904,start_crt
1630067706298.2122,start_nback
1630067782449.92,start_fatigue
1630067998520.295,end_fatigue
1630068008828.7703,submit_survey
1630068012263.7761,start_crt
1630068079084.864,start_nback
1630068129097.191,end_session
