timestamp,is_blink
1630059083738,1
1630059085267,1
1630059085643,1
1630059085879,1
1630059086652,1
1630059087294,1
1630059087866,1
1630059088961,1
1630059089835,1
1630059090448,1
1630059091997,1
1630059093558,1
1630059093999,1
1630059098773,1
1630059101093,1
1630059101423,1
1630059108491,1
1630059112070,1
1630059114336,1
1630059118165,1
1630059121556,1
1630059125973,1
1630059126160,1
1630059127728,1
1630059130758,1
1630059131182,1
1630059131782,1
1630059132594,1
1630059132982,1
1630059134109,1
1630059135734,1
1630059136362,1
1630059136972,1
1630059138688,1
1630059144099,1
1630059146119,1
1630059147021,1
1630059147246,1
1630059149757,1
1630059150220,1
1630059150541,1
1630059151532,1
1630059152372,1
1630059154830,1
1630059156287,1
1630059158092,1
1630059159399,1
1630059160229,1
1630059163769,1
1630059165817,1
1630059169172,1
1630059170511,1
1630059175785,1
1630059183579,1
1630059197711,1
1630059210125,1
1630059210874,1
1630059213431,1
1630059217588,1
1630059220252,1
1630059224533,1
1630059226461,1
1630059228814,1
1630059229266,1
1630059235263,1
1630059239133,1
1630059242402,1
1630059245883,1
1630059247546,1
1630059248892,1
1630059250912,1
1630059253565,1
1630059260500,1
1630059264926,1
1630059265715,1
1630059266239,1
1630059267271,1
1630059268676,1
1630059270098,1
1630059271609,1
1630059273035,1
1630059274490,1
1630059275469,1
1630059275985,1
1630059277409,1
1630059278764,1
1630059280065,1
1630059281464,1
1630059282893,1
1630059284335,1
1630059285717,1
1630059287176,1
1630059288599,1
1630059289894,1
1630059291198,1
1630059292754,1
1630059294086,1
1630059295460,1
1630059296879,1
1630059298226,1
1630059299672,1
1630059301128,1
1630059302639,1
1630059304072,1
1630059305566,1
1630059307139,1
1630059308609,1
1630059310109,1
1630059310303,1
1630059311735,1
1630059313268,1
1630059314786,1
1630059316280,1
1630059317744,1
1630059319246,1
1630059320768,1
1630059322309,1
1630059323733,1
1630059325238,1
1630059326658,1
1630059328210,1
1630059329752,1
1630059331305,1
1630059332719,1
1630059334177,1
1630059335676,1
1630059337090,1
1630059338626,1
1630059340053,1
1630059341597,1
1630059343491,1
1630059345234,1
1630059345542,1
1630059347084,1
1630059348036,1
1630059350623,1
1630059352050,1
1630059353441,1
1630059355002,1
1630059355959,1
1630059356585,1
1630059358057,1
1630059359422,1
1630059360239,1
1630059360848,1
1630059362395,1
1630059363928,1
1630059365426,1
1630059366850,1
1630059368418,1
1630059369894,1
1630059371461,1
1630059372742,1
1630059373182,1
1630059374388,1
1630059374576,1
1630059375983,1
1630059377449,1
1630059378967,1
1630059380503,1
1630059381912,1
1630059383327,1
1630059384879,1
1630059386264,1
1630059387803,1
1630059389208,1
1630059390007,1
1630059390351,1
1630059390710,1
1630059392185,1
1630059393579,1
1630059394976,1
1630059396514,1
1630059397923,1
1630059399389,1
1630059400859,1
1630059401062,1
1630059401679,1
1630059403139,1
1630059405046,1
1630059405484,1
1630059405671,1
1630059405874,1
1630059408394,1
1630059408800,1
1630059409596,1
1630059412455,1
1630059413426,1
1630059414291,1
1630059415597,1
1630059415956,1
1630059416303,1
1630059417445,1
1630059418386,1
1630059418636,1
1630059419264,1
1630059419513,1
1630059419966,1
1630059420376,1
1630059420579,1
1630059421175,1
1630059421800,1
1630059422193,1
1630059422646,1
1630059423008,1
1630059423791,1
1630059424685,1
1630059425562,1
1630059426299,1
1630059428492,1
1630059429089,1
1630059431266,1
1630059432769,1
1630059433678,1
1630059434818,1
1630059435608,1
1630059436548,1
1630059437379,1
1630059437786,1
1630059439293,1
1630059440062,1
1630059443042,1
1630059443729,1
1630059445688,1
1630059445985,1
1630059446706,1
1630059446909,1
1630059447303,1
1630059447522,1
1630059448619,1
1630059448931,1
1630059449217,1
1630059455431,1
1630059456667,1
1630059457045,1
1630059458186,1
1630059459283,1
1630059459705,1
1630059460910,1
1630059461394,1
1630059461722,1
1630059462259,1
1630059462431,1
1630059462759,1
1630059463633,1
1630059464699,1
1630059465061,1
1630059465577,1
1630059466280,1
1630059466608,1
1630059467626,1
1630059468521,1
1630059468963,1
1630059469227,1
1630059470058,1
1630059470265,1
1630059470437,1
1630059470783,1
1630059471479,1
1630059471997,1
1630059472967,1
1630059473420,1
1630059474017,1
1630059474507,1
1630059474929,1
1630059475916,1
1630059476650,1
1630059477144,1
1630059477488,1
1630059478179,1
1630059478351,1
1630059478897,1
1630059479388,1
1630059480284,1
1630059480862,1
1630059481325,1
1630059482706,1
1630059482927,1
1630059483221,1
1630059484157,1
1630059485293,1
1630059485658,1
1630059486808,1
1630059487209,1
1630059488105,1
1630059488723,1
1630059489564,1
1630059490042,1
1630059491169,1
1630059492504,1
1630059492704,1
1630059493922,1
1630059494213,1
1630059495236,1
1630059495833,1
1630059496023,1
1630059496442,1
1630059496647,1
1630059496884,1
1630059497864,1
1630059498101,1
1630059498414,1
1630059498554,1
1630059498898,1
1630059499423,1
1630059499766,1
1630059500394,1
1630059500817,1
1630059501930,1
1630059502242,1
1630059502727,1
1630059503441,1
1630059503659,1
1630059506622,1
1630059506906,1
1630059507234,1
1630059507614,1
1630059508022,1
1630059508532,1
1630059509248,1
1630059509434,1
1630059510455,1
1630059510975,1
1630059512294,1
1630059512989,1
1630059513425,1
1630059513706,1
1630059514316,1
1630059515034,1
1630059516227,1
1630059516867,1
1630059517367,1
1630059517773,1
1630059518198,1
1630059518604,1
1630059519089,1
1630059520111,1
1630059520642,1
1630059521351,1
1630059521617,1
1630059521852,1
1630059522039,1
1630059523101,1
1630059523554,1
1630059524086,1
1630059525085,1
1630059525989,1
1630059526408,1
1630059527093,1
1630059527349,1
1630059527833,1
1630059528651,1
1630059528854,1
1630059529866,1
1630059530235,1
1630059531242,1
1630059531458,1
1630059531770,1
1630059532688,1
1630059534232,1
1630059535640,1
1630059538396,1
1630059538599,1
1630059539133,1
1630059539617,1
1630059540026,1
1630059541019,1
1630059541960,1
1630059542435,1
1630059543375,1
1630059544597,1
1630059545019,1
1630059545394,1
1630059546441,1
1630059546612,1
1630059547929,1
1630059548229,1
1630059548526,1
1630059549151,1
1630059549573,1
1630059550358,1
1630059551123,1
1630059551842,1
1630059552797,1
1630059553110,1
1630059553407,1
1630059553735,1
1630059554441,1
1630059554988,1
1630059556069,1
1630059556475,1
1630059557493,1
1630059557899,1
1630059558434,1
1630059558778,1
1630059559324,1
1630059560030,1
1630059560259,1
1630059560852,1
1630059561058,1
1630059561839,1
1630059562792,1
1630059563074,1
1630059564362,1
1630059564815,1
1630059566216,1
1630059566810,1
1630059567356,1
1630059568355,1
1630059568792,1
1630059568948,1
1630059570078,1
1630059571085,1
1630059571487,1
1630059571815,1
1630059572193,1
1630059572912,1
1630059574130,1
1630059574349,1
1630059575337,1
1630059576093,1
1630059576781,1
1630059576984,1
1630059578305,1
1630059579602,1
1630059581153,1
1630059581434,1
1630059583084,1
1630059584005,1
1630059584911,1
1630059585242,1
1630059585414,1
1630059585929,1
1630059586539,1
1630059586929,1
1630059587248,1
1630059588049,1
1630059588455,1
1630059589379,1
1630059589773,1
1630059590384,1
1630059590907,1
1630059591597,1
1630059592338,1
1630059594240,1
1630059595356,1
1630059595779,1
1630059596504,1
1630059597431,1
1630059597618,1
1630059597884,1
1630059598665,1
1630059599434,1
1630059601155,1
1630059602477,1
1630059602773,1
1630059602992,1
1630059603801,1
1630059604225,1
1630059605018,1
1630059605337,1
1630059606304,1
1630059606757,1
1630059607434,1
1630059607764,1
1630059609197,1
1630059609796,1
1630059610939,1
1630059611741,1
1630059612341,1
1630059613294,1
1630059613732,1
1630059614343,1
1630059614671,1
1630059616405,1
1630059616796,1
1630059618246,1
1630059618512,1
1630059619387,1
1630059619949,1
1630059620246,1
1630059620980,1
1630059621401,1
1630059622073,1
1630059622496,1
1630059626647,1
1630059627038,1
1630059627475,1
1630059628174,1
1630059628392,1
1630059628877,1
1630059629130,1
1630059629395,1
1630059630083,1
1630059630604,1
1630059632541,1
1630059632760,1
1630059633791,1
1630059635478,1
1630059636902,1
1630059637746,1
1630059638011,1
1630059638527,1
1630059639339,1
1630059640974,1
1630059642508,1
1630059643104,1
1630059643401,1
1630059645844,1
1630059647987,1
1630059648893,1
1630059649315,1
1630059649689,1
1630059650132,1
1630059650413,1
1630059651433,1
1630059651839,1
1630059652123,1
1630059652857,1
1630059653060,1
1630059653484,1
1630059653972,1
1630059654175,1
1630059654816,1
1630059655775,1
1630059657020,1
1630059657520,1
1630059658208,1
1630059658723,1
1630059659586,1
1630059660198,1
1630059661499,1
1630059661812,1
1630059663241,1
1630059664306,1
1630059665152,1
1630059665854,1
1630059666419,1
1630059667165,1
1630059667680,1
1630059668292,1
1630059668823,1
1630059669079,1
1630059670129,1
1630059671158,1
1630059672450,1
1630059672975,1
1630059673258,1
1630059674296,1
1630059675510,1
1630059676734,1
1630059678061,1
1630059679347,1
1630059680584,1
1630059681800,1
1630059683103,1
1630059684318,1
1630059685178,1
1630059685631,1
1630059686848,1
1630059687994,1
1630059688400,1
1630059689418,1
1630059690655,1
1630059691964,1
1630059693167,1
1630059694487,1
1630059695807,1
1630059697035,1
1630059698421,1
1630059699643,1
1630059701007,1
1630059702322,1
1630059703534,1
