utcTime,eventMarker
1630059060789.0,start_experiment
1630059083595.731,start_baseline
1630059263595.731,end_baseline
1630059275546.627,submit_survey
1630059282615.833,start_crt
1630059351361.918,start_nback
1630059463661.374,start_activity
1630059645350.313,end_activity
1630059685265.627,submit_survey
1630059688113.973,start_crt
1630059755377.4531,start_nback
1630059837431.249,start_fatigue
1630060030211.8499,end_fatigue
1630060046104.7417,submit_survey
1630060051396.204,start_crt
1630060119129.149,start_nback
1630060169131.5498,end_session
