utcTime,eventMarker
1631204112856.0,start_experiment
1631204135227.7373,start_baseline
1631204315227.7373,end_baseline
1631204332248.416,submit_survey
1631204340071.29,start_crt
1631204414974.007,start_nback
1631204515106.304,start_activity
1631204695426.849,end_activity
1631204726001.6738,submit_survey
1631204731707.149,start_crt
1631204803558.6372,start_nback
1631204915524.458,start_fatigue
1631205111780.704,end_fatigue
1631205121288.0928,submit_survey
1631205126669.918,start_crt
1631205188673.353,start_nback
1631205238676.1868,end_session
