utcTime,eventMarker
1630070073575.0,start_experiment
1630070094708.926,start_baseline
1630070274708.926,end_baseline
1630070292318.434,submit_survey
1630070332954.289,start_crt
1630070423158.253,start_nback
1630070586874.622,start_activity
1630070767353.671,end_activity
1630070790404.72,submit_survey
1630070798406.229,start_crt
1630070873936.085,start_nback
1630071032289.6067,start_fatigue
1630071252357.734,end_fatigue
1630071260136.493,submit_survey
1630071269803.552,start_crt
1630071344121.7952,start_nback
1630071394124.534,end_session
