timestamp,TP9,AF7,AF8,TP10
1630070112780,1.0,1.0,1.0,1.0
1630070112877,1.0,1.0,1.0,1.0
1630070113049,1.0,1.0,1.0,1.0
1630070113096,1.0,1.0,1.0,1.0
1630070113221,1.0,1.0,1.0,1.0
1630070113283,1.0,1.0,1.0,1.0
1630070113393,1.0,1.0,1.0,1.0
1630070113486,1.0,1.0,1.0,1.0
1630070113604,1.0,1.0,1.0,1.0
1630070113719,1.0,1.0,1.0,1.0
1630070113829,1.0,1.0,1.0,1.0
1630070113894,1.0,1.0,1.0,1.0
1630070113994,1.0,1.0,1.0,1.0
1630070114103,1.0,1.0,1.0,1.0
1630070114243,1.0,1.0,1.0,1.0
1630070114331,1.0,1.0,1.0,1.0
1630070114416,1.0,1.0,1.0,1.0
1630070114495,1.0,1.0,1.0,1.0
1630070114590,1.0,1.0,1.0,1.0
1630070114684,1.0,1.0,1.0,1.0
1630070114858,1.0,1.0,1.0,1.0
1630070114938,1.0,1.0,1.0,1.0
1630070115032,1.0,1.0,1.0,1.0
1630070115147,1.0,1.0,1.0,1.0
1630070115225,1.0,1.0,1.0,1.0
1630070115303,1.0,1.0,1.0,1.0
1630070115462,1.0,1.0,1.0,1.0
1630070115524,1.0,1.0,1.0,1.0
1630070115620,1.0,1.0,1.0,1.0
1630070115773,1.0,1.0,1.0,1.0
1630070115826,1.0,1.0,1.0,1.0
1630070115936,1.0,1.0,1.0,1.0
1630070116078,1.0,1.0,1.0,1.0
1630070116141,1.0,1.0,1.0,1.0
1630070116262,1.0,1.0,1.0,1.0
1630070116340,1.0,1.0,1.0,1.0
1630070116465,1.0,1.0,1.0,1.0
1630070116512,1.0,1.0,1.0,1.0
1630070116668,1.0,1.0,1.0,1.0
1630070116778,1.0,1.0,1.0,1.0
1630070116902,1.0,1.0,1.0,1.0
1630070116967,1.0,1.0,1.0,1.0
1630070117045,1.0,1.0,1.0,1.0
1630070117156,1.0,1.0,1.0,1.0
1630070117277,1.0,1.0,1.0,1.0
1630070117371,1.0,1.0,1.0,1.0
1630070117465,1.0,1.0,1.0,1.0
1630070117574,1.0,1.0,1.0,1.0
1630070117652,1.0,1.0,1.0,1.0
1630070117762,1.0,1.0,1.0,1.0
1630070117887,1.0,1.0,1.0,1.0
1630070117996,1.0,1.0,1.0,1.0
1630070118074,1.0,1.0,1.0,1.0
1630070118168,1.0,1.0,1.0,1.0
1630070118262,1.0,1.0,1.0,1.0
1630070118371,1.0,1.0,1.0,1.0
1630070118496,1.0,1.0,1.0,1.0
1630070118590,1.0,1.0,1.0,1.0
1630070118683,1.0,1.0,1.0,1.0
1630070118777,1.0,1.0,1.0,1.0
1630070118874,1.0,1.0,1.0,1.0
1630070118967,1.0,1.0,1.0,1.0
1630070119092,1.0,1.0,1.0,1.0
1630070119217,1.0,1.0,1.0,1.0
1630070119296,1.0,1.0,1.0,1.0
1630070119405,1.0,1.0,1.0,1.0
1630070119483,1.0,1.0,1.0,1.0
1630070119577,1.0,1.0,1.0,1.0
1630070119717,1.0,1.0,1.0,1.0
1630070119832,1.0,1.0,1.0,1.0
1630070119914,1.0,1.0,1.0,1.0
1630070120024,1.0,1.0,1.0,1.0
1630070120117,1.0,1.0,1.0,1.0
1630070120211,1.0,1.0,1.0,1.0
1630070120305,1.0,1.0,1.0,1.0
1630070120446,1.0,1.0,1.0,1.0
1630070120508,1.0,1.0,1.0,1.0
1630070120633,1.0,1.0,1.0,1.0
1630070120727,1.0,1.0,1.0,1.0
1630070120805,1.0,1.0,1.0,1.0
1630070120946,1.0,1.0,1.0,1.0
1630070121060,1.0,1.0,1.0,1.0
1630070121122,1.0,1.0,1.0,1.0
1630070121246,1.0,1.0,1.0,1.0
1630070121324,1.0,1.0,1.0,1.0
1630070121402,1.0,1.0,1.0,1.0
1630070121543,1.0,1.0,1.0,1.0
1630070121636,1.0,1.0,1.0,1.0
1630070121730,1.0,1.0,1.0,1.0
1630070121824,1.0,1.0,1.0,1.0
1630070121936,1.0,1.0,1.0,1.0
1630070122014,1.0,1.0,1.0,1.0
1630070122139,1.0,1.0,1.0,1.0
1630070122248,1.0,1.0,1.0,1.0
1630070122342,1.0,1.0,1.0,1.0
1630070122451,1.0,1.0,1.0,1.0
1630070122529,1.0,1.0,1.0,1.0
1630070122607,1.0,1.0,1.0,1.0
1630070122767,1.0,1.0,1.0,1.0
1630070122862,1.0,1.0,1.0,1.0
1630070122957,1.0,1.0,1.0,1.0
1630070123051,1.0,1.0,1.0,1.0
1630070123129,1.0,1.0,1.0,1.0
1630070123213,1.0,1.0,1.0,1.0
1630070123385,1.0,1.0,1.0,1.0
1630070123463,1.0,1.0,1.0,1.0
1630070123557,1.0,1.0,1.0,1.0
1630070123652,1.0,1.0,1.0,1.0
1630070123745,1.0,1.0,1.0,1.0
1630070123839,1.0,1.0,1.0,1.0
1630070123990,1.0,1.0,1.0,1.0
1630070124101,1.0,1.0,1.0,1.0
1630070124179,1.0,1.0,1.0,1.0
1630070124261,1.0,1.0,1.0,1.0
1630070124355,1.0,1.0,1.0,1.0
1630070124450,1.0,1.0,1.0,1.0
1630070124587,1.0,1.0,1.0,1.0
1630070124719,1.0,1.0,1.0,1.0
1630070124788,1.0,1.0,1.0,1.0
1630070124842,1.0,1.0,1.0,1.0
1630070124954,1.0,1.0,1.0,1.0
1630070125096,1.0,1.0,1.0,1.0
1630070125207,1.0,1.0,1.0,1.0
1630070125295,1.0,1.0,1.0,1.0
1630070125405,1.0,1.0,1.0,1.0
1630070125467,1.0,1.0,1.0,1.0
1630070125561,1.0,1.0,1.0,1.0
1630070125671,1.0,1.0,1.0,1.0
1630070125814,1.0,1.0,1.0,1.0
1630070125894,1.0,1.0,1.0,1.0
1630070125991,1.0,1.0,1.0,1.0
1630070126094,1.0,1.0,1.0,1.0
1630070126172,1.0,1.0,1.0,1.0
1630070126266,1.0,1.0,1.0,1.0
1630070126422,1.0,1.0,1.0,1.0
1630070126500,1.0,1.0,1.0,1.0
1630070126594,1.0,1.0,1.0,1.0
1630070126672,1.0,1.0,1.0,1.0
1630070126797,1.0,1.0,1.0,1.0
1630070126909,1.0,1.0,1.0,1.0
1630070127050,1.0,1.0,1.0,1.0
1630070127159,1.0,1.0,1.0,1.0
1630070127228,1.0,1.0,1.0,1.0
1630070127322,1.0,1.0,1.0,1.0
1630070127431,1.0,1.0,1.0,1.0
1630070127494,1.0,1.0,1.0,1.0
1630070127650,1.0,1.0,1.0,1.0
1630070127744,1.0,1.0,1.0,1.0
1630070127822,1.0,1.0,1.0,1.0
1630070127916,1.0,1.0,1.0,1.0
1630070127994,1.0,1.0,1.0,1.0
1630070128103,1.0,1.0,1.0,1.0
1630070128268,1.0,1.0,1.0,1.0
1630070128353,1.0,1.0,1.0,1.0
1630070128426,1.0,1.0,1.0,1.0
1630070128565,1.0,1.0,1.0,1.0
1630070128627,1.0,1.0,1.0,1.0
1630070128721,1.0,1.0,1.0,1.0
1630070128863,1.0,1.0,1.0,1.0
1630070128958,1.0,1.0,1.0,1.0
1630070129052,1.0,1.0,1.0,1.0
1630070129115,1.0,1.0,1.0,1.0
1630070129255,1.0,1.0,1.0,1.0
1630070129333,1.0,1.0,1.0,1.0
1630070129474,1.0,1.0,1.0,1.0
1630070129552,1.0,1.0,1.0,1.0
1630070129630,1.0,1.0,1.0,1.0
1630070129724,1.0,1.0,1.0,1.0
1630070129849,1.0,1.0,1.0,1.0
1630070129927,1.0,1.0,1.0,1.0
1630070130068,1.0,1.0,1.0,1.0
1630070130177,1.0,1.0,1.0,1.0
1630070130255,1.0,1.0,1.0,1.0
1630070130349,1.0,1.0,1.0,1.0
1630070130442,1.0,1.0,1.0,1.0
1630070130536,1.0,1.0,1.0,1.0
1630070130692,1.0,1.0,1.0,1.0
1630070130786,1.0,1.0,1.0,1.0
1630070130883,1.0,1.0,1.0,1.0
1630070130945,1.0,1.0,1.0,1.0
1630070131054,1.0,1.0,1.0,1.0
1630070131148,1.0,1.0,1.0,1.0
1630070131304,1.0,1.0,1.0,1.0
1630070131382,1.0,1.0,1.0,1.0
1630070131476,1.0,1.0,1.0,1.0
1630070131570,1.0,1.0,1.0,1.0
1630070131679,1.0,1.0,1.0,1.0
1630070131773,1.0,1.0,1.0,1.0
1630070131932,1.0,1.0,1.0,1.0
1630070132010,1.0,1.0,1.0,1.0
1630070132104,1.0,1.0,1.0,1.0
1630070132198,1.0,1.0,1.0,1.0
1630070132291,1.0,1.0,1.0,1.0
1630070132370,1.0,1.0,1.0,1.0
1630070132510,1.0,1.0,1.0,1.0
1630070132635,1.0,1.0,1.0,1.0
1630070132729,1.0,1.0,1.0,1.0
1630070132863,1.0,1.0,1.0,1.0
1630070132914,1.0,1.0,1.0,1.0
1630070132972,1.0,1.0,1.0,1.0
1630070133128,1.0,1.0,1.0,1.0
1630070133222,1.0,1.0,1.0,1.0
1630070133331,1.0,1.0,1.0,1.0
1630070133440,1.0,1.0,1.0,1.0
1630070133503,1.0,1.0,1.0,1.0
1630070133594,1.0,1.0,1.0,1.0
1630070133730,1.0,1.0,1.0,1.0
1630070133824,1.0,1.0,1.0,1.0
1630070133952,1.0,1.0,1.0,1.0
1630070134015,1.0,1.0,1.0,1.0
1630070134123,1.0,1.0,1.0,1.0
1630070134194,1.0,1.0,1.0,1.0
1630070134368,1.0,1.0,1.0,1.0
1630070134448,1.0,1.0,1.0,1.0
1630070134556,1.0,1.0,1.0,1.0
1630070134619,1.0,1.0,1.0,1.0
1630070134716,1.0,1.0,1.0,1.0
1630070134839,1.0,1.0,1.0,1.0
1630070134973,1.0,1.0,1.0,1.0
1630070135068,1.0,1.0,1.0,1.0
1630070135130,1.0,1.0,1.0,1.0
1630070135222,1.0,1.0,1.0,1.0
1630070135319,1.0,1.0,1.0,1.0
1630070135412,1.0,1.0,1.0,1.0
1630070135571,1.0,1.0,1.0,1.0
1630070135670,1.0,1.0,1.0,1.0
1630070135760,1.0,1.0,1.0,1.0
1630070135855,1.0,1.0,1.0,1.0
1630070135936,1.0,1.0,1.0,1.0
1630070136045,1.0,1.0,1.0,1.0
1630070136170,1.0,1.0,1.0,1.0
1630070136264,1.0,1.0,1.0,1.0
1630070136361,1.0,1.0,1.0,1.0
1630070136486,1.0,1.0,1.0,1.0
1630070136548,1.0,1.0,1.0,1.0
1630070136665,1.0,1.0,1.0,1.0
1630070136774,1.0,1.0,1.0,1.0
1630070136918,1.0,1.0,1.0,1.0
1630070136981,1.0,1.0,1.0,1.0
1630070137086,1.0,1.0,1.0,1.0
1630070137226,1.0,1.0,1.0,1.0
1630070137272,1.0,1.0,1.0,1.0
1630070137383,1.0,1.0,1.0,1.0
1630070137493,1.0,1.0,1.0,1.0
1630070137610,1.0,1.0,1.0,1.0
1630070137672,1.0,1.0,1.0,1.0
1630070137782,1.0,1.0,1.0,1.0
1630070137880,1.0,1.0,1.0,1.0
1630070138021,1.0,1.0,1.0,1.0
1630070138067,1.0,1.0,1.0,1.0
1630070138177,1.0,1.0,1.0,1.0
1630070138270,2.0,1.0,1.0,2.0
1630070138398,2.0,1.0,1.0,2.0
1630070138460,2.0,1.0,1.0,2.0
1630070138617,2.0,1.0,1.0,2.0
1630070138695,2.0,1.0,1.0,2.0
1630070138804,2.0,1.0,1.0,2.0
1630070138916,2.0,1.0,1.0,2.0
1630070138994,2.0,1.0,1.0,2.0
1630070139088,2.0,1.0,1.0,2.0
1630070139213,2.0,1.0,1.0,2.0
1630070139322,2.0,1.0,1.0,2.0
1630070139400,2.0,1.0,1.0,2.0
1630070139510,2.0,1.0,1.0,2.0
1630070139596,2.0,1.0,1.0,2.0
1630070139706,2.0,1.0,1.0,2.0
1630070139831,1.0,1.0,1.0,1.0
1630070139928,1.0,1.0,1.0,1.0
1630070140006,1.0,1.0,1.0,1.0
1630070140115,1.0,1.0,1.0,1.0
1630070140240,1.0,1.0,1.0,1.0
1630070140365,1.0,1.0,1.0,1.0
1630070140506,1.0,1.0,1.0,1.0
1630070140599,1.0,1.0,1.0,1.0
1630070140677,1.0,1.0,1.0,1.0
1630070140771,1.0,1.0,1.0,1.0
1630070140882,1.0,1.0,1.0,1.0
1630070140945,1.0,1.0,1.0,1.0
1630070141084,1.0,1.0,1.0,1.0
1630070141162,1.0,1.0,1.0,1.0
1630070141287,1.0,1.0,1.0,1.0
1630070141412,1.0,1.0,1.0,1.0
1630070141475,1.0,1.0,1.0,1.0
1630070141584,1.0,1.0,1.0,1.0
1630070141678,1.0,1.0,1.0,1.0
1630070141803,1.0,1.0,1.0,1.0
1630070141850,1.0,1.0,1.0,1.0
1630070141962,1.0,1.0,1.0,1.0
1630070142040,1.0,1.0,1.0,1.0
1630070142165,1.0,1.0,1.0,1.0
1630070142306,1.0,1.0,1.0,1.0
1630070142384,1.0,1.0,1.0,1.0
1630070142462,1.0,1.0,1.0,1.0
1630070142618,1.0,1.0,1.0,1.0
1630070142665,1.0,1.0,1.0,1.0
1630070142759,1.0,1.0,1.0,1.0
1630070142902,1.0,1.0,1.0,1.0
1630070142980,1.0,1.0,1.0,1.0
1630070143084,1.0,1.0,1.0,1.0
1630070143184,1.0,1.0,1.0,1.0
1630070143276,1.0,1.0,1.0,1.0
1630070143370,1.0,1.0,1.0,1.0
1630070143498,1.0,1.0,1.0,1.0
1630070143576,1.0,1.0,1.0,1.0
1630070143718,1.0,1.0,1.0,1.0
1630070143780,1.0,1.0,1.0,1.0
1630070143906,1.0,1.0,1.0,1.0
1630070144000,1.0,1.0,1.0,1.0
1630070144099,1.0,1.0,1.0,1.0
1630070144190,1.0,1.0,1.0,1.0
1630070144301,1.0,1.0,1.0,1.0
1630070144380,1.0,1.0,1.0,1.0
1630070144490,1.0,1.0,1.0,1.0
1630070144587,1.0,1.0,1.0,1.0
1630070144755,1.0,1.0,1.0,1.0
1630070144849,1.0,1.0,1.0,1.0
1630070144899,1.0,1.0,1.0,1.0
1630070144992,2.0,1.0,1.0,2.0
1630070145095,2.0,1.0,1.0,2.0
1630070145213,1.0,1.0,1.0,1.0
1630070145375,1.0,1.0,1.0,1.0
1630070145404,1.0,1.0,1.0,1.0
1630070145576,1.0,1.0,1.0,1.0
1630070145608,1.0,1.0,1.0,1.0
1630070145702,1.0,1.0,1.0,1.0
1630070145782,1.0,1.0,1.0,1.0
1630070145927,1.0,1.0,1.0,1.0
1630070146067,1.0,1.0,1.0,1.0
1630070146130,1.0,1.0,1.0,1.0
1630070146239,1.0,1.0,1.0,1.0
1630070146302,1.0,1.0,1.0,1.0
1630070146398,1.0,1.0,1.0,1.0
1630070146523,1.0,1.0,1.0,1.0
1630070146632,1.0,1.0,1.0,1.0
1630070146726,1.0,1.0,1.0,1.0
1630070146835,1.0,1.0,1.0,1.0
1630070146979,1.0,1.0,1.0,1.0
1630070147073,1.0,1.0,1.0,1.0
1630070147151,1.0,1.0,1.0,1.0
1630070147260,1.0,1.0,1.0,1.0
1630070147370,1.0,1.0,1.0,1.0
1630070147464,1.0,1.0,1.0,1.0
1630070147526,1.0,1.0,1.0,1.0
1630070147651,1.0,1.0,1.0,1.0
1630070147807,1.0,1.0,1.0,1.0
1630070147854,1.0,1.0,1.0,1.0
1630070147997,1.0,1.0,1.0,1.0
1630070148060,1.0,1.0,1.0,1.0
1630070148138,1.0,1.0,1.0,1.0
1630070148263,1.0,1.0,1.0,1.0
1630070148435,1.0,1.0,1.0,1.0
1630070148497,1.0,1.0,1.0,1.0
1630070148607,1.0,1.0,1.0,1.0
1630070148654,1.0,1.0,1.0,1.0
1630070148747,1.0,1.0,1.0,1.0
1630070148888,1.0,1.0,1.0,1.0
1630070149013,1.0,1.0,1.0,1.0
1630070149107,1.0,1.0,1.0,1.0
1630070149214,1.0,1.0,1.0,1.0
1630070149323,1.0,1.0,1.0,1.0
1630070149370,1.0,1.0,1.0,1.0
1630070149448,1.0,1.0,1.0,1.0
1630070149620,1.0,1.0,1.0,1.0
1630070149730,1.0,1.0,1.0,1.0
1630070149823,1.0,1.0,1.0,1.0
1630070149888,1.0,1.0,1.0,1.0
1630070149998,1.0,1.0,1.0,1.0
1630070150076,1.0,1.0,1.0,1.0
1630070150185,1.0,1.0,1.0,1.0
1630070150310,1.0,1.0,1.0,1.0
1630070150419,1.0,1.0,1.0,1.0
1630070150482,1.0,1.0,1.0,1.0
1630070150607,1.0,1.0,1.0,1.0
1630070150716,1.0,1.0,1.0,1.0
1630070150810,1.0,1.0,1.0,1.0
1630070150907,1.0,1.0,1.0,1.0
1630070151063,1.0,1.0,1.0,1.0
1630070151094,1.0,1.0,1.0,1.0
1630070151251,1.0,1.0,1.0,1.0
1630070151313,1.0,1.0,1.0,1.0
1630070151454,1.0,1.0,1.0,1.0
1630070151532,1.0,1.0,1.0,1.0
1630070151610,1.0,1.0,1.0,1.0
1630070151688,1.0,1.0,1.0,1.0
1630070151797,1.0,1.0,1.0,1.0
1630070151891,1.0,1.0,1.0,1.0
1630070152016,1.0,1.0,1.0,1.0
1630070152125,1.0,1.0,1.0,1.0
1630070152235,1.0,1.0,1.0,1.0
1630070152329,1.0,1.0,1.0,1.0
1630070152438,1.0,1.0,1.0,1.0
1630070152516,1.0,1.0,1.0,1.0
1630070152688,1.0,1.0,1.0,1.0
1630070152735,1.0,1.0,1.0,1.0
1630070152862,1.0,1.0,1.0,1.0
1630070152956,1.0,1.0,1.0,1.0
1630070153049,1.0,1.0,1.0,1.0
1630070153143,1.0,1.0,1.0,1.0
1630070153237,1.0,1.0,1.0,1.0
1630070153362,1.0,1.0,1.0,1.0
1630070153456,1.0,1.0,1.0,1.0
1630070153518,1.0,1.0,1.0,1.0
1630070153659,1.0,1.0,1.0,1.0
1630070153784,1.0,1.0,1.0,1.0
1630070153846,1.0,1.0,1.0,1.0
1630070153955,1.0,1.0,1.0,1.0
1630070154049,1.0,1.0,1.0,1.0
1630070154143,1.0,1.0,1.0,1.0
1630070154237,1.0,1.0,1.0,1.0
1630070154330,1.0,1.0,1.0,1.0
1630070154487,1.0,1.0,1.0,1.0
1630070154549,1.0,1.0,1.0,1.0
1630070154705,1.0,1.0,1.0,1.0
1630070154768,1.0,1.0,1.0,1.0
1630070154865,1.0,1.0,1.0,1.0
1630070154943,1.0,1.0,1.0,1.0
1630070155099,1.0,1.0,1.0,1.0
1630070155208,1.0,1.0,1.0,1.0
1630070155271,1.0,1.0,1.0,1.0
1630070155364,1.0,1.0,1.0,1.0
1630070155458,1.0,1.0,1.0,1.0
1630070155599,1.0,1.0,1.0,1.0
1630070155677,1.0,1.0,1.0,1.0
1630070155771,1.0,1.0,1.0,1.0
1630070155882,1.0,1.0,1.0,1.0
1630070155976,1.0,1.0,1.0,1.0
1630070156070,1.0,1.0,1.0,1.0
1630070156179,1.0,1.0,1.0,1.0
1630070156333,1.0,1.0,1.0,1.0
1630070156426,1.0,1.0,1.0,1.0
1630070156523,1.0,1.0,1.0,1.0
1630070156635,1.0,1.0,1.0,1.0
1630070156709,1.0,1.0,1.0,1.0
1630070156805,1.0,1.0,1.0,1.0
1630070156931,1.0,1.0,1.0,1.0
1630070157025,1.0,1.0,1.0,1.0
1630070157170,1.0,1.0,1.0,1.0
1630070157200,1.0,1.0,1.0,1.0
1630070157294,1.0,1.0,1.0,1.0
1630070157372,1.0,1.0,1.0,1.0
1630070157594,1.0,1.0,1.0,1.0
1630070157676,1.0,1.0,1.0,1.0
1630070157720,1.0,1.0,1.0,1.0
1630070157785,1.0,1.0,1.0,1.0
1630070157909,1.0,1.0,1.0,1.0
1630070158021,1.0,1.0,1.0,1.0
1630070158126,1.0,1.0,1.0,1.0
1630070158235,1.0,1.0,1.0,1.0
1630070158313,1.0,1.0,1.0,1.0
1630070158423,1.0,1.0,1.0,1.0
1630070158532,1.0,1.0,1.0,1.0
1630070158601,1.0,1.0,1.0,1.0
1630070158727,1.0,1.0,1.0,1.0
1630070158830,1.0,1.0,1.0,1.0
1630070158956,1.0,1.0,1.0,1.0
1630070159017,1.0,1.0,1.0,1.0
1630070159128,1.0,1.0,1.0,1.0
1630070159197,1.0,1.0,1.0,1.0
1630070159369,1.0,1.0,1.0,1.0
1630070159416,1.0,1.0,1.0,1.0
1630070159525,1.0,1.0,1.0,1.0
1630070159663,1.0,1.0,1.0,1.0
