timestamp,duration
1630934636524,1800
1630934638324,2120
1630934640444,3400
1630934643844,1840
1630934645684,1680
1630934647364,2760
1630934650124,2760
1630934652884,3000
1630934655884,1920
1630934657804,3200
1630934661004,2040
1630934663044,2400
1630934665444,3120
1630934668564,3400
1630934671964,2000
1630934673964,2880
1630934676844,2000
1630934678844,2280
1630934681124,2040
1630934683164,1920
1630934685084,2280
1630934687364,2000
1630934689364,2320
1630934691684,2080
1630934693764,2080
1630934695844,2080
1630934697924,2240
1630934700164,2000
1630934702164,2120
1630934704284,2080
1630934706364,2160
1630934708524,2160
1630934710684,2040
1630934712724,2320
1630934715044,2080
1630934717124,2160
1630934719284,2040
1630934721324,2080
1630934723404,2160
1630934725564,2000
1630934727564,2240
1630934729804,2120
1630934731924,2240
1630934734164,2120
1630934736284,2280
1630934738564,2200
1630934740764,2240
1630934743004,2920
1630934745924,2880
1630934748804,2240
1630934751044,1800
1630934752844,2840
1630934755684,2080
1630934757764,3880
1630934761644,2320
1630934763964,2160
1630934766124,2280
1630934768404,2160
1630934770564,2480
1630934773044,2680
1630934775724,1760
1630934777484,2720
1630934780204,2320
1630934782524,2920
1630934785444,1920
1630934787364,2640
1630934790004,2400
1630934792404,2760
1630934795164,3000
1630934798164,2920
1630934801084,2440
1630934803524,2200
1630934805724,5880
1630934811604,2880
1630934814484,2880
1630934817364,3480
1630934820844,1880
1630934822724,3360
1630934826084,2480
1630934828564,3680
1630934832244,1920
1630934834164,2720
1630934836884,2280
1630934839164,2200
1630934841364,2400
1630934843764,2880
1630934846644,2520
1630934849164,3040
1630934852204,3120
1630934855324,3160
1630934858484,2360
1630934860844,3400
1630934864244,2920
1630934867164,2520
1630934869684,2440
1630934872124,2840
1630934874964,2400
1630934877364,3040
1630934880404,3480
1630934883884,2720
1630934886604,2680
1630934889284,2360
1630934891644,2880
1630934894524,2600
1630934897124,2840
1630934899964,2960
1630934902924,2400
1630934905324,2880
1630934908204,4360
1630934912564,4560
1630934917124,6400
1630934923524,2360
1630934925884,6600
1630934932484,6720
1630934939204,3280
1630934942484,2120
1630934944604,2440
1630934947044,2320
1630934949364,3560
1630934952924,3040
1630934955964,5720
1630934961684,2920
1630934964604,4040
1630934968644,2120
1630934970764,3080
1630934973844,2880
1630934976724,2080
1630934978804,2880
1630934981684,2600
1630934984284,2920
1630934987204,3120
1630934990324,2680
1630934993004,3040
1630934996044,2480
1630934998524,2760
1630935001284,2680
1630935003964,5120
1630935009084,2400
1630935011484,2120
1630935013604,6480
1630935020084,3360
1630935023444,1760
1630935025204,2440
1630935027644,2040
1630935029684,2160
1630935031844,2120
1630935033964,2080
1630935036044,2200
1630935038244,1880
1630935040124,3160
1630935043284,3360
1630935046644,3400
1630935050044,1480
1630935051524,1400
1630935052924,2640
1630935055564,1160
1630935056724,2000
1630935058724,1720
1630935060444,1600
1630935062044,1520
1630935063564,1560
1630935065124,1720
1630935066844,1760
1630935068604,1320
1630935069924,3840
1630935073764,1480
1630935075244,1440
