utcTime,eventMarker
1630934565204.0,start_experiment
1630934635186.297,start_baseline
1630934815186.297,end_baseline
1630934828837.3801,submit_survey
1630934835639.5452,start_crt
1630934946356.739,start_nback
1630935151922.3318,start_activity
1630935230338.082,end_activity
1630935297904.124,submit_survey
1630935305820.6602,start_crt
1630935377587.024,start_nback
1630935479620.044,start_fatigue
1630935778221.968,end_fatigue
1630935788574.948,submit_survey
1630935792619.919,start_crt
1630935866617.603,start_nback
1630935916619.832,end_session
