timestamp,duration
1629376834046,640.625
1629376918625,1312.5
1629376919687,1062.5
1629376920859,1171.875
1629376921890,1031.25
1629376923093,1203.125
1629376924265,1171.875
1629376967812,1171.875
1629376968921,1109.375
1629376970250,1328.125
1629376971265,1015.625
1629376972453,1187.5
1629376973671,1218.75
1629376997734,1250.0
1629376998890,1156.25
1629377000000,1109.375
1629377000984,984.375
1629377002156,1171.875
1629377003296,1140.625
1629377004703,1406.25
1629377013593,1140.625
1629377026765,531.25
1629377027359,593.75
1629377093218,1031.25
1629377094125,906.25
1629377095031,906.25
1629377095921,890.625
1629377096734,812.5
1629377097578,843.75
1629377101921,1000.0
1629377107843,953.125
1629377108781,937.5
1629377109796,1015.625
1629377110546,750.0
1629377115453,1000.0
1629377116437,984.375
1629377117328,890.625
1629377118234,906.25
1629377119234,1000.0
1629377120250,1015.625
1629377121218,968.75
1629377122109,890.625
1629377122937,828.125
1629377124000,1062.5
1629377124968,968.75
1629377125906,937.5
1629377126953,1046.875
1629377127906,953.125
1629377128875,968.75
1629377129843,968.75
1629377130734,890.625
1629377131750,1015.625
1629377132656,906.25
1629377133546,890.625
1629377134531,984.375
1629377135515,984.375
1629377136468,953.125
1629377175296,937.5
1629377176203,906.25
1629377177218,1015.625
1629377178109,890.625
1629377179015,906.25
1629377179968,953.125
1629377180921,953.125
1629377181859,937.5
1629377187296,906.25
1629377188140,843.75
1629377189109,968.75
1629377190109,1000.0
1629377191046,937.5
1629377192031,984.375
1629377193000,968.75
1629377193921,921.875
1629377194828,906.25
1629377195765,937.5
1629377196484,718.75
1629377197546,1062.5
1629377198468,921.875
1629377199437,968.75
1629377200312,875.0
1629377201187,875.0
1629377202125,937.5
1629377203046,921.875
1629377203953,906.25
1629377204875,921.875
1629377205843,968.75
1629377206765,921.875
1629377207656,890.625
1629377208546,890.625
1629377209421,875.0
1629377210218,796.875
1629377211093,875.0
1629377212031,937.5
1629377212937,906.25
1629377213875,937.5
1629377215046,1171.875
1629377231687,968.75
1629377232671,984.375
1629377233640,968.75
1629377234625,984.375
1629377235562,937.5
1629377236437,875.0
1629377237234,796.875
