trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
251.8382816,252.9793787,-0.3,z,period,0,1.651382719,0,0
253.5311784,254.6664219,0.1,comma,period,0,1.979521732,1,0
255.5400975,256.8120252,-0.1,x,period,0,1.766743643,2,0
257.3421348,258.4994911,-0.1,x,x,1,1.661325979,3,0
259.0411602,260.2996393,0.3,period,comma,0,2.125281029,4,0
261.1979577,None,0.3,period,z,0,0.003344007,5,0
261.2362287,262.3126698,0.3,period,comma,0,1.669059625,6,0
262.9433447,264.2331088,-0.1,x,period,0,1.834911025,7,0
264.8085336,265.9662257,0.1,comma,z,0,1.866650886,8,0
266.7079167,268.27921,-0.3,z,x,0,2.083166138,9,0
268.8301809,269.8654686,0.1,comma,z,0,2.48074903,10,0
271.3420226,272.4992836,0.1,comma,period,0,1.711941164,11,0
273.0948447,274.2652469,-0.3,z,period,0,2.008020576,12,0
275.1433207,276.5662047,-0.1,x,z,0,1.928397797,13,0
277.1084495,278.2318372,-0.3,z,x,0,1.709282897,14,0
278.8662715,280.3325267,0.3,period,comma,0,2.361251321,15,0
281.2626632,282.3120062,0.3,period,period,1,1.721716515,16,0
283.0280279,284.4327278,-0.3,z,period,0,2.081299077,17,0
285.1411902,286.332441,-0.1,x,period,0,1.701185483,18,0
286.8746032,287.9447874,0.1,comma,period,0,1.814652345,19,0
288.730161,289.932232,0.3,period,z,0,1.731068744,20,0
290.4949381,None,0.1,comma,comma,1,0.022150292,21,0
290.5481172,None,-0.1,x,x,1,0.016970775,22,0
290.5995959,291.8324074,0.3,period,z,0,2.039409233,23,0
292.6756165,293.9786909,-0.3,z,z,1,1.854223443,24,0
294.5591286,295.7649182,0.1,comma,period,0,2.184754278,25,0
296.7753543,298.0455212,-0.1,x,period,0,1.892531132,26,0
298.7084464,300.1322612,-0.3,z,x,0,1.757202566,27,0
300.4951082,301.6323801,-0.3,z,x,0,1.626543598,28,0
302.1588906,303.4114166,0.3,period,comma,0,1.885663125,29,0
304.0787452,305.2308959,0.3,period,comma,0,1.85181844,30,0
305.9648016,307.3119017,-0.1,x,z,0,1.957522882,31,0
307.9633295,309.2324365,-0.1,x,z,0,1.758083627,32,0
309.7635019,310.9314482,0.1,comma,period,0,2.05577249,33,0
311.8633318,313.0986493,0.1,comma,comma,1,1.623714034,34,0
313.5274526,314.6443072,-0.3,z,z,1,1.648527209,35,0
773.6875458,775.0215323,-0.3,z,z,1,1.807621838,0,1
775.5383878,776.7078441,0.1,comma,comma,1,1.894673703,1,1
777.4739489,778.6084603,0.3,period,period,1,1.617099324,2,1
779.135964,780.307997,-0.3,z,z,1,1.59097597,3,1
780.7708106,782.0075411,0.3,period,period,1,1.936969087,4,1
782.7409315,783.8405026,-0.3,z,z,1,1.494671838,5,1
784.2694503,785.5887249,-0.3,z,z,1,1.740186736,6,1
786.051336,787.1749341,0.3,period,period,1,1.699287082,7,1
787.783771,788.8759196,-0.1,x,x,1,1.520804896,8,1
789.3403223,790.8083395,-0.3,z,z,1,1.858229888,9,1
791.2411166,792.3742218,-0.3,z,z,1,1.520191783,10,1
792.8010714,793.854568,-0.1,x,x,1,1.390270979,11,1
794.2365371,795.4087753,-0.1,x,x,1,1.617790313,12,1
795.8823982,797.1089441,0.1,comma,comma,1,1.622812662,13,1
797.5405713,798.7745679,0.1,comma,comma,1,1.607457346,14,1
799.1826379,800.3545411,0.1,comma,comma,1,1.503419576,15,1
800.7112558,801.740363,-0.1,x,x,1,1.493678799,16,1
802.2362391,803.4206861,-0.1,x,comma,0,1.553636965,17,1
803.8427827,805.0860248,0.1,comma,comma,1,1.861007451,18,1
805.7342189,806.9209142,0.3,period,period,1,1.577503081,19,1
807.3495758,808.7072103,-0.3,z,z,1,1.872071739,20,1
809.2510102,810.6220532,0.3,period,period,1,1.804583694,21,1
811.1078222,812.3879968,0.1,comma,comma,1,1.820713637,22,1
812.9735393,814.3877495,-0.3,z,z,1,1.785851153,23,1
814.8042157,816.0878853,-0.1,x,x,1,1.588210155,24,1
816.437929,817.7423632,0.1,comma,comma,1,1.909386091,25,1
818.3843369,819.7747066,0.3,period,period,1,1.745012357,26,1
820.1710556,821.2089448,-0.1,x,x,1,1.986056977,27,1
822.2074771,823.2882411,-0.3,z,z,1,1.427551213,28,1
823.671235,825.0421448,0.1,comma,comma,1,1.804829855,29,1
825.5187154,826.6875395,0.1,comma,comma,1,1.551246457,30,1
827.1042797,828.2541372,-0.1,x,x,1,1.589563912,31,1
828.7374062,830.1543959,0.3,period,period,1,1.861393552,32,1
830.6398858,832.0880921,-0.1,x,x,1,1.844748344,33,1
832.5157343,833.6541049,0.3,period,period,1,1.650877215,34,1
834.2021416,835.321411,0.3,period,period,1,1.537331586,35,1
1308.945286,1310.281689,0.3,period,period,1,2.061111666,0,2
1311.045249,1312.14754,-0.1,x,x,1,1.781872202,1,2
1312.866585,1313.981821,0.1,comma,comma,1,1.894519097,2,2
1314.800154,1316.168264,0.3,period,period,1,1.817862504,3,2
1316.66711,1318.201198,0.3,period,period,1,2.028889969,4,2
1318.730792,1320.035081,-0.1,x,x,1,1.869059791,5,2
1320.630487,1321.935378,0.1,comma,comma,1,1.806386286,6,2
1322.478074,1323.747703,-0.1,x,x,1,1.754579258,7,2
1324.263596,1325.647724,-0.3,z,z,1,1.745041754,8,2
1326.044061,1327.301825,-0.1,x,x,1,1.551519994,9,2
1327.631088,1328.680981,-0.3,z,z,1,1.467393212,10,2
