timestamp,eda
1629376823000,0.0
1629376823250,0.15376
1629376823500,0.166573
1629376823750,0.184512
1629376824000,0.188356
1629376824250,0.189637
1629376824500,0.185793
1629376824750,0.185793
1629376825000,0.184512
1629376825250,0.178105
1629376825500,0.179386
1629376825750,0.181949
1629376826000,0.178105
1629376826250,0.187074
1629376826500,0.194762
1629376826750,0.188356
1629376827000,0.184512
1629376827250,0.188356
1629376827500,0.189637
1629376827750,0.188356
1629376828000,0.187074
1629376828250,0.187074
1629376828500,0.189637
1629376828750,0.185793
1629376829000,0.187074
1629376829250,0.189637
1629376829500,0.185793
1629376829750,0.187074
1629376830000,0.189637
1629376830250,0.185793
1629376830500,0.188356
1629376830750,0.187074
1629376831000,0.188356
1629376831250,0.188356
1629376831500,0.187074
1629376831750,0.188356
1629376832000,0.185793
1629376832250,0.185793
1629376832500,0.188356
1629376832750,0.184512
1629376833000,0.184512
1629376833250,0.184512
1629376833500,0.181949
1629376833750,0.194762
1629376834000,0.188356
1629376834250,0.184512
1629376834500,0.187074
1629376834750,0.187074
1629376835000,0.181949
1629376835250,0.185793
1629376835500,0.185793
1629376835750,0.188356
1629376836000,0.193481
1629376836250,0.184512
1629376836500,0.18323
1629376836750,0.185793
1629376837000,0.18323
1629376837250,0.184512
1629376837500,0.187074
1629376837750,0.184512
1629376838000,0.181949
1629376838250,0.179386
1629376838500,0.175542
1629376838750,0.176824
1629376839000,0.179386
1629376839250,0.176824
1629376839500,0.180668
1629376839750,0.184512
1629376840000,0.18323
1629376840250,0.184512
1629376840500,0.180668
1629376840750,0.175542
1629376841000,0.179386
1629376841250,0.176824
1629376841500,0.179386
1629376841750,0.181949
1629376842000,0.179386
1629376842250,0.24089
1629376842500,0.295987
1629376842750,0.138384
1629376843000,0.18323
1629376843250,0.212701
1629376843500,0.24986
1629376843750,0.196044
1629376844000,0.179386
1629376844250,0.17298
1629376844500,0.178105
1629376844750,0.180668
1629376845000,0.178105
1629376845250,0.184512
1629376845500,0.188356
1629376845750,0.184512
1629376846000,0.185793
1629376846250,0.184512
1629376846500,0.187074
1629376846750,0.190918
1629376847000,0.187074
1629376847250,0.185793
1629376847500,0.190918
1629376847750,0.188356
1629376848000,0.181949
1629376848250,0.188356
1629376848500,0.185793
1629376848750,0.174261
1629376849000,0.189637
1629376849250,0.187074
1629376849500,0.185793
1629376849750,0.187074
1629376850000,0.189637
1629376850250,0.188356
1629376850500,0.138384
1629376850750,0.189637
1629376851000,0.193481
1629376851250,0.190918
1629376851500,0.16401
1629376851750,0.162729
1629376852000,0.194762
1629376852250,0.18323
1629376852500,0.147353
1629376852750,0.061504
1629376853000,0.075599
1629376853250,0.228077
1629376853500,0.190918
1629376853750,0.185793
1629376854000,0.084568
1629376854250,0.184512
1629376854500,0.181949
1629376854750,0.185793
1629376855000,0.185793
1629376855250,0.181949
1629376855500,0.184512
1629376855750,0.184512
1629376856000,0.18323
1629376856250,0.187074
1629376856500,0.18323
1629376856750,0.181949
1629376857000,0.181949
1629376857250,0.180668
1629376857500,0.179386
1629376857750,0.18323
1629376858000,0.179386
1629376858250,0.181949
1629376858500,0.18323
1629376858750,0.180668
1629376859000,0.181949
1629376859250,0.181949
1629376859500,0.179386
1629376859750,0.184512
1629376860000,0.180668
1629376860250,0.179386
1629376860500,0.181949
1629376860750,0.180668
1629376861000,0.180668
1629376861250,0.181949
1629376861500,0.178105
1629376861750,0.180668
1629376862000,0.181949
1629376862250,0.179386
1629376862500,0.179386
1629376862750,0.179386
1629376863000,0.178105
1629376863250,0.180668
1629376863500,0.179386
1629376863750,0.178105
1629376864000,0.180668
1629376864250,0.178105
1629376864500,0.181949
1629376864750,0.181949
1629376865000,0.179386
1629376865250,0.180668
1629376865500,0.181949
1629376865750,0.180668
1629376866000,0.181949
1629376866250,0.18323
1629376866500,0.178105
1629376866750,0.180668
1629376867000,0.179386
1629376867250,0.178105
1629376867500,0.180668
1629376867750,0.179386
1629376868000,0.180668
1629376868250,0.180668
1629376868500,0.180668
1629376868750,0.180668
1629376869000,0.181949
1629376869250,0.179386
1629376869500,0.179386
1629376869750,0.180668
1629376870000,0.179386
1629376870250,0.180668
1629376870500,0.180668
1629376870750,0.176824
1629376871000,0.180668
1629376871250,0.18323
1629376871500,0.178105
1629376871750,0.181949
1629376872000,0.179386
1629376872250,0.179386
1629376872500,0.181949
1629376872750,0.178105
1629376873000,0.178105
1629376873250,0.180668
1629376873500,0.176824
1629376873750,0.180668
1629376874000,0.181949
1629376874250,0.178105
1629376874500,0.181949
1629376874750,0.180668
1629376875000,0.179386
1629376875250,0.180668
1629376875500,0.180668
1629376875750,0.178105
1629376876000,0.194762
1629376876250,0.180668
1629376876500,0.178105
1629376876750,0.179386
1629376877000,0.178105
1629376877250,0.178105
1629376877500,0.179386
1629376877750,0.174261
1629376878000,0.176824
1629376878250,0.181949
1629376878500,0.179386
1629376878750,0.176824
1629376879000,0.178105
1629376879250,0.178105
1629376879500,0.178105
1629376879750,0.180668
1629376880000,0.178105
1629376880250,0.178105
1629376880500,0.180668
1629376880750,0.178105
1629376881000,0.176824
1629376881250,0.179386
1629376881500,0.176824
1629376881750,0.176824
1629376882000,0.179386
1629376882250,0.175542
1629376882500,0.176824
1629376882750,0.179386
1629376883000,0.176824
1629376883250,0.179386
1629376883500,0.179386
1629376883750,0.175542
1629376884000,0.176824
1629376884250,0.180668
1629376884500,0.176824
1629376884750,0.179386
1629376885000,0.180668
1629376885250,0.176824
1629376885500,0.179386
1629376885750,0.180668
1629376886000,0.176824
1629376886250,0.179386
1629376886500,0.179386
1629376886750,0.175542
1629376887000,0.179386
1629376887250,0.179386
1629376887500,0.176824
1629376887750,0.178105
1629376888000,0.180668
1629376888250,0.176824
1629376888500,0.179386
1629376888750,0.180668
1629376889000,0.178105
1629376889250,0.179386
1629376889500,0.179386
1629376889750,0.178105
1629376890000,0.180668
1629376890250,0.178105
1629376890500,0.176824
1629376890750,0.179386
1629376891000,0.175542
1629376891250,0.174261
1629376891500,0.178105
1629376891750,0.176824
1629376892000,0.174261
1629376892250,0.176824
1629376892500,0.174261
1629376892750,0.174261
1629376893000,0.176824
1629376893250,0.175542
1629376893500,0.174261
1629376893750,0.178105
1629376894000,0.174261
1629376894250,0.174261
1629376894500,0.176824
1629376894750,0.174261
1629376895000,0.178105
1629376895250,0.179386
1629376895500,0.174261
1629376895750,0.178105
1629376896000,0.176824
1629376896250,0.174261
1629376896500,0.176824
1629376896750,0.174261
1629376897000,0.174261
1629376897250,0.175542
1629376897500,0.174261
1629376897750,0.175542
1629376898000,0.176824
1629376898250,0.175542
1629376898500,0.176824
1629376898750,0.175542
1629376899000,0.171698
1629376899250,0.176824
1629376899500,0.176824
1629376899750,0.174261
1629376900000,0.176824
1629376900250,0.176824
1629376900500,0.174261
1629376900750,0.176824
1629376901000,0.174261
1629376901250,0.171698
1629376901500,0.174261
1629376901750,0.175542
1629376902000,0.174261
1629376902250,0.174261
1629376902500,0.17298
1629376902750,0.171698
