timestamp,ax,ay,az
1631193108572,-0.054778,-0.7431019999999999,0.6436109999999999
1631193108582,-0.054046,-0.742248,0.64477
1631193108592,-0.054839,-0.7400519999999999,0.645685
1631193108601,-0.05429,-0.7400519999999999,0.647149
1631193108611,-0.054839,-0.740601,0.647027
1631193108620,-0.05429,-0.741516,0.645014
1631193108630,-0.053314,-0.7406619999999999,0.640378
1631193108640,-0.055449,-0.738405,0.63928
1631193108649,-0.05551,-0.737856,0.6405609999999999
1631193108659,-0.05551,-0.738649,0.643367
1631193108668,-0.055022,-0.7403569999999999,0.646539
1631193108678,-0.053924,-0.7421869999999999,0.648613
1631193108688,-0.054168,-0.7424919999999999,0.647576
1631193108697,-0.054655999999999996,-0.7424919999999999,0.646051
1631193108707,-0.054534,-0.742309,0.644099
1631193108716,-0.055144,-0.742553,0.640927
1631193108726,-0.055388,-0.743346,0.63989
1631193108736,-0.056242,-0.743956,0.637938
1631193108745,-0.057096,-0.744688,0.6372059999999999
1631193108755,-0.05795,-0.744749,0.6387309999999999
1631193108764,-0.056791,-0.74603,0.642025
1631193108774,-0.055998,-0.744566,0.6448309999999999
1631193108784,-0.056364,-0.743468,0.646234
1631193108793,-0.055693,-0.742858,0.647881
1631193108803,-0.056669,-0.74176,0.647759
1631193108812,-0.058193999999999996,-0.74054,0.647088
1631193108822,-0.059719,-0.739808,0.6454409999999999
1631193108832,-0.058316,-0.738771,0.645197
1631193108841,-0.058682,-0.7382219999999999,0.644587
1631193108851,-0.059231,-0.736941,0.6442209999999999
1631193108860,-0.060146,-0.73749,0.6426959999999999
1631192845203,-0.187941,-0.570228,0.775188
1631192845213,-0.187392,-0.570716,0.776713
1631192845223,-0.186782,-0.5699839999999999,0.775493
1631192845232,-0.186294,-0.568276,0.776469
1631192845242,-0.18666,-0.567422,0.777689
1631192845251,-0.186904,-0.566995,0.7783599999999999
1631192845261,-0.186782,-0.567605,0.776469
1631192845271,-0.187636,-0.566995,0.772382
1631192845280,-0.18995399999999998,-0.568642,0.767014
