timestamp,battery_level_muse,battery_voltage_muse,adc_voltage_muse,temperature_muse
1631192852204,2500,3086,-1,0
1631192862210,2500,3091,-1,0
1631192872202,2500,3088,-1,0
1631192882318,2500,3088,-1,0
1631192892290,2500,3091,-1,0
1631192902226,2500,3091,-1,0
1631192912236,2500,3084,-1,0
1631192922215,2000,3064,-1,0
1631192932539,2500,3093,-1,0
1631192942613,2500,3091,-1,0
1631192952237,2500,3091,-1,0
1631192962231,2500,3091,-1,0
1631192972300,2500,3088,-1,0
1631192982269,2500,3093,-1,0
1631192992373,2500,3086,-1,0
1631193002250,2500,3086,-1,0
1631193012320,2500,3086,-1,0
1631193022361,2500,3086,-1,0
1631193032434,2000,3053,-1,0
1631193042290,2500,3075,-1,0
1631193052338,2000,3066,-1,0
1631193062321,2500,3082,-1,0
1631193072389,2500,3091,-1,0
1631193082347,2500,3084,-1,0
1631193092381,2500,3088,-1,0
1631193102342,2500,3084,-1,0
1631193112355,2500,3088,-1,0
1631193122409,2500,3088,-1,0
1631193132390,2500,3086,-1,0
1631193142425,2500,3086,-1,0
1631193152410,2500,3082,-1,0
1631193162390,2500,3086,-1,0
1631193172467,2500,3091,-1,0
1631193182391,2500,3084,-1,0
1631193192412,2500,3077,-1,0
1631193202411,2500,3086,-1,0
1631193212511,2500,3086,-1,0
1631193222394,2500,3088,-1,0
1631193232490,2500,3084,-1,0
1631193242462,2500,3084,-1,0
1631193252430,2500,3084,-1,0
1631193262460,2000,3049,-1,0
1631193272470,2500,3086,-1,0
1631193282494,2500,3086,-1,0
1631193292477,2500,3084,-1,0
1631193302489,2500,3082,-1,0
1631193312494,2500,3082,-1,0
1631193322500,2500,3082,-1,0
1631193332662,2500,3084,-1,0
1631193342533,2500,3084,-1,0
1631193352684,2500,3084,-1,0
1631193362622,2500,3082,-1,0
1631193372644,2500,3084,-1,0
1631193382621,2500,3084,-1,0
1631193392545,2500,3077,-1,0
1631193402554,2500,3080,-1,0
1631193412848,2000,3071,-1,0
1631193422607,2500,3080,-1,0
1631193432589,2500,3080,-1,0
1631193442615,2500,3082,-1,0
1631193452592,2500,3077,-1,0
1631193462667,2500,3080,-1,0
1631193472588,2500,3082,-1,0
1631193482648,2500,3080,-1,0
1631193492626,2500,3082,-1,0
1631193502639,2500,3080,-1,0
1631193512638,2500,3080,-1,0
1631193522624,2500,3084,-1,0
1631193532686,2500,3077,-1,0
1631193542635,2500,3080,-1,0
1631193552647,2500,3084,-1,0
1631193562717,2500,3082,-1,0
1631193572649,2000,3073,-1,0
1631193582718,2000,3062,-1,0
1631193592757,2500,3080,-1,0
1631193602681,2000,3055,-1,0
1631193612773,2000,3071,-1,0
1631193622723,2500,3082,-1,0
1631193632779,2500,3080,-1,0
1631193642703,2500,3077,-1,0
1631193652714,2000,3069,-1,0
1631193662722,2500,3077,-1,0
1631193672766,2500,3075,-1,0
1631193682793,2500,3077,-1,0
1631193692880,2000,3055,-1,0
1631193702731,2000,3071,-1,0
1631193712730,2500,3077,-1,0
1631193722950,2500,3075,-1,0
1631193732754,2000,3073,-1,0
1631193742813,2500,3075,-1,0
1631193752790,2500,3077,-1,0
1631193762848,2500,3077,-1,0
1631193772830,2500,3075,-1,0
1631193782848,2500,3075,-1,0
1631193792861,2000,3071,-1,0
1631193802834,2000,3071,-1,0
1631193812828,2500,3077,-1,0
1631193822827,2500,3077,-1,0
1631193832839,2500,3077,-1,0
1631193842861,2500,3075,-1,0
1631193852898,2000,3073,-1,0
1631193862871,2000,3073,-1,0
1631193872929,2500,3075,-1,0
1631193882910,2000,3071,-1,0
1631193892882,2000,3071,-1,0
1631193902864,2000,3073,-1,0
1631193912867,2000,3071,-1,0
1631193922907,2500,3075,-1,0
1631193932913,2000,3071,-1,0
1631193942922,2000,3073,-1,0
1631193952925,2000,3073,-1,0
1631193962932,2000,3069,-1,0
1631193972915,2000,3069,-1,0
