utcTime,eventMarker
1631192821962.0,start_experiment
1631192845199.3699,start_baseline
1631193025199.3699,end_baseline
1631193038039.885,submit_survey
1631193047380.0803,start_crt
1631193116244.6133,start_nback
1631193211599.128,start_activity
1631193392001.2622,end_activity
1631193418074.14,submit_survey
1631193425178.254,start_crt
1631193491298.079,start_nback
1631193573696.573,start_fatigue
1631193845012.007,end_fatigue
1631193855180.5679,submit_survey
1631193858029.561,start_crt
1631193928343.152,start_nback
1631193978364.6619,end_session
