utcTime,eventMarker
1629807831927.0,start_experiment
1629807853155.7668,start_baseline
1629808033155.7668,end_baseline
1629808057354.124,submit_survey
1629808084222.5598,start_crt
1629808175503.4868,start_nback
1629808297271.574,start_activity
1629808477604.361,end_activity
1629808503942.84,submit_survey
1629808509836.249,start_crt
1629808582270.383,start_nback
1629808709549.4932,start_fatigue
1629809041234.205,end_fatigue
1629809054831.1401,submit_survey
1629809062434.144,start_crt
1629809133600.7358,start_nback
1629809183601.84,end_session
