utcTime,eventMarker
1631021136531.0,start_experiment
1631021159144.3572,start_baseline
1631021339144.3572,end_baseline
1631021350862.1042,submit_survey
1631021355611.67,start_crt
1631021428431.757,start_nback
1631021527078.0798,start_activity
1631021707896.2932,end_activity
1631021766748.56,submit_survey
1631021771130.2158,start_crt
1631021844078.8218,start_nback
1631021922059.4631,start_fatigue
1631022169762.34,end_fatigue
1631022176214.672,submit_survey
1631022178725.0823,start_crt
1631022250276.8198,start_nback
1631022300279.0908,end_session
