utcTime,eventMarker
1630573676606.0,start_experiment
1630573698883.734,start_baseline
1630573878883.734,end_baseline
1630573890694.071,submit_survey
1630573904501.8408,start_crt
1630573989536.279,start_nback
1630574083901.396,start_activity
1630574264249.265,end_activity
1630574304038.909,submit_survey
1630574312781.348,start_crt
1630574382548.744,start_nback
1630574518631.266,start_fatigue
1630574880966.071,end_fatigue
1630574893786.4749,submit_survey
1630574898850.486,start_crt
1630574972497.86,start_nback
1630575022519.405,end_session
