trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
283.9919814309105,285.03747230488807,0.1,comma,comma,1,2.2293246160261333,0,0
286.26934925396927,287.4835385589395,0.1,comma,comma,1,2.5348384210374206,1,0
288.8348699938506,290.11709798080847,-0.1,x,x,1,2.2463622719515115,2,0
291.11485068290494,292.15050727082416,-0.1,x,x,1,1.6103294321801511,3,0
292.7661679079756,293.9041205798276,0.3,period,period,1,2.7348556551150978,4,0
295.5342678478919,296.7173487469554,-0.3,z,z,1,2.508617294020951,5,0
298.0796790078748,299.3837742549367,-0.1,x,x,1,2.061046452028677,6,0
300.1805424238555,301.30327072693035,-0.3,z,z,1,1.9461083160713315,7,0
302.18328906595707,303.41622541099787,-0.3,z,z,1,1.879176118876785,8,0
304.10104663902894,305.30307112890296,0.3,period,period,1,2.166548433015123,9,0
306.29998343694024,307.55032967193983,0.3,period,period,1,1.728435718920082,10,0
308.06992079201154,309.4840029638726,-0.3,z,z,1,1.938364181900397,11,0
310.0477528308984,311.3495072629303,0.3,period,period,1,1.8854656270705163,12,0
311.96750883199275,313.30361389881,0.1,comma,comma,1,2.044684170046821,13,0
314.0429380298592,315.51689848396927,0.1,comma,comma,1,2.093046342022717,14,0
316.18624373083003,317.4034359548241,-0.1,x,x,1,2.114639448933304,15,0
318.3326831308659,319.74965963186696,0.3,period,period,1,2.2831311330664903,16,0
320.6495424958412,321.73671901295893,-0.3,z,z,1,1.7462000348605216,17,0
322.43430357589386,323.5168464919552,0.1,comma,comma,1,1.8924081521108749,18,0
324.368510116823,325.5696322009899,-0.3,z,z,1,1.796067493967712,19,0
326.2007384798489,327.4361754478887,-0.1,x,x,1,1.737726602004841,20,0
327.9785262309015,329.10341388289817,0.1,comma,comma,1,1.9528147161472589,21,0
329.97006410197355,331.271448842017,0.3,period,period,1,1.7452841671183703,22,0
331.7456499619875,333.0704437359236,-0.1,x,x,1,2.082516170106828,23,0
333.86316007887945,334.983327355003,0.1,comma,comma,1,1.900119465077296,24,0
335.7994293118827,336.9366507779341,-0.1,x,x,1,1.6118007011245936,25,0
337.44593447097577,338.67020159587264,-0.1,x,x,1,1.6950946119613943,26,0
339.1799638578668,340.416403273819,0.3,period,period,1,1.879086922854185,27,0
341.10030720802024,342.2700454038568,-0.1,x,x,1,1.6425276978407055,28,0
342.7824666178785,343.9490115768276,-0.3,z,z,1,1.698265671962872,29,0
344.51574340695515,345.803479161812,0.3,period,period,1,1.816191341960803,30,0
346.3660647459328,347.7034951879177,0.1,comma,comma,1,1.9185428749769928,31,0
348.33498722780496,349.4828023398295,-0.3,z,z,1,1.6446543198544532,32,0
350.01249617594294,351.2701302110217,0.1,comma,comma,1,1.7149190010968596,33,0
351.7672404409386,352.9497534330003,-0.3,z,z,1,1.7501705770846456,34,0
353.5686621228233,354.6155929940287,0.3,period,period,1,1.6516517570707947,35,0
841.4147840000223,842.4297690659296,-0.3,z,z,1,2.0129385499749333,0,1
843.4591911288444,844.608960055979,-0.3,z,z,1,1.690434642136097,1,1
845.1968282498419,846.4964273879305,0.1,comma,comma,1,2.2397877669427544,2,1
847.4725906189997,848.6764081718866,-0.1,x,x,1,1.9238859149627388,3,1
