utcTime,eventMarker
1630674760024.0,start_experiment
1630674781584.558,start_baseline
1630674961584.558,end_baseline
1630675016531.937,submit_survey
1630675044002.1938,start_crt
1630675192633.559,start_nback
1630675328748.228,start_activity
1630675524167.2822,end_activity
1630675588001.6328,submit_survey
1630675601448.148,start_crt
1630675689799.676,start_nback
1630675840133.227,start_fatigue
1630676180353.0933,end_fatigue
1630676191159.8552,submit_survey
1630676198080.8552,start_crt
1630676293928.4229,start_nback
1630676343949.9001,end_session
