utcTime,eventMarker
1629880699680.0,start_experiment
1629880721616.524,start_baseline
1629880901616.524,end_baseline
1629880917276.4038,submit_survey
1629880920797.7212,start_crt
1629880985698.1519,start_nback
1629881076878.4739,start_activity
1629881257214.61,end_activity
1629881280126.614,submit_survey
1629881281415.574,start_crt
1629881348694.3303,start_nback
1629881463227.618,start_fatigue
1629881669596.171,end_fatigue
1629881684274.963,submit_survey
1629881686626.902,start_crt
1629881751145.7422,start_nback
1629881801148.361,end_session
