timestamp,cumulative_impulse_load,walking_step_count,running_step_count,bound_count,jump_count,minor_impact_count,major_impact_count,avg_force_dev_rate,avg_step_impulse,avg_step_period,last_jump_flight_time
1629880722448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880723448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880724448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880725448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880726448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880727448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880728448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880729448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880730448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880731448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880732448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880733448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880734448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880735448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880736448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880737448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880738448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880739448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880740448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880741448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880742448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880743448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880744448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880745448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880746448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880747448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880748448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880749448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880750448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880751448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880752448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880753448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880754448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880755448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880756448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880757448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880758448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880759448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880760448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880761448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880762448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880763448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880764448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880765448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880766448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880767448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1629880768448,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
