utcTime,eventMarker
1631018732825.0,start_experiment
1631018753877.801,start_baseline
1631018933877.801,end_baseline
1631018954027.705,submit_survey
1631018971911.8762,start_crt
1631019059502.5498,start_nback
1631019158376.107,start_activity
1631019343694.126,end_activity
1631019379241.3208,submit_survey
1631019382790.449,start_crt
1631019450975.1238,start_nback
1631019578310.7341,start_fatigue
1631019790393.2368,end_fatigue
1631019803486.1208,submit_survey
1631019808404.5151,start_crt
1631019876757.2588,start_nback
1631019926759.41,end_session
