timestamp,ax,ay,az
1631019914082,-0.909998,-0.284016,-0.18196299999999999
1631019914092,-0.911218,-0.28468699999999997,-0.18257299999999999
1631019914101,-0.9116449999999999,-0.28468699999999997,-0.183732
1631019914111,-0.912316,-0.28590699999999997,-0.183732
1631019914121,-0.911523,-0.286273,-0.184769
1631019914130,-0.910608,-0.285724,-0.18422
1631019914140,-0.9101199999999999,-0.285175,-0.18422
1631019914149,-0.9098149999999999,-0.285541,-0.18422
1631019914159,-0.9095099999999999,-0.28560199999999997,-0.184159
1631019914169,-0.909632,-0.283894,-0.184281
1631019914178,-0.909571,-0.282735,-0.183
1631019914188,-0.909449,-0.283101,-0.183305
1631019914197,-0.909144,-0.28346699999999997,-0.183915
1631019914207,-0.907253,-0.28304,-0.185562
1631019914217,-0.9067649999999999,-0.283528,-0.187087
1631019914226,-0.906826,-0.28560199999999997,-0.188307
1631019914236,-0.9064599999999999,-0.284138,-0.189771
1631019914245,-0.9101199999999999,-0.28224699999999997,-0.191723
1631019914255,-0.9131699999999999,-0.279929,-0.191906
1631019914265,-0.91622,-0.27633,-0.19086899999999998
1631019914274,-0.918416,-0.272609,-0.18964899999999998
1631019914284,-0.919331,-0.271328,-0.187148
1631019914293,-0.918172,-0.270901,-0.185806
1631019914303,-0.916464,-0.2745,-0.184769
1631019914313,-0.915061,-0.276879,-0.18409799999999998
1631019914322,-0.913719,-0.281271,-0.184159
1631019914332,-0.913048,-0.284138,-0.18440299999999998
1631019914341,-0.912804,-0.286151,-0.18348799999999998
1631019914351,-0.9125599999999999,-0.287493,-0.18348799999999998
1631019914361,-0.912987,-0.288652,-0.182329
1631019914370,-0.912682,-0.288591,-0.182329
1631019914380,-0.910608,-0.288225,-0.181292
1631019914389,-0.909937,-0.287859,-0.180377
1631019914399,-0.908534,-0.288469,-0.17946199999999998
1631019914409,-0.909144,-0.287432,-0.17873
1631019914418,-0.9095099999999999,-0.286151,-0.175924
1631019914428,-0.909571,-0.284138,-0.175131
1631019914437,-0.909449,-0.285785,-0.17360599999999998
1631019914447,-0.912133,-0.287005,-0.173118
1631019914457,-0.9125599999999999,-0.286944,-0.17385
1631019914466,-0.914512,-0.285175,-0.17360599999999998
1631019914476,-0.915915,-0.28224699999999997,-0.17299599999999998
1631019914485,-0.916952,-0.281515,-0.17202
1631019914495,-0.916891,-0.279441,-0.17202
1631019914505,-0.91744,-0.277367,-0.172325
1631019914514,-0.91683,-0.277489,-0.17324
1631019914524,-0.917196,-0.277245,-0.175436
1631019914533,-0.915427,-0.278953,-0.17702199999999998
1631019914543,-0.914695,-0.278221,-0.179035
1631019914553,-0.913719,-0.279441,-0.178974
1631019914562,-0.913231,-0.280966,-0.179218
1631019914572,-0.910913,-0.279502,-0.178974
1631019914581,-0.9125599999999999,-0.279014,-0.179218
1631019914591,-0.912743,-0.28041699999999997,-0.179523
1631019914601,-0.914146,-0.279502,-0.180804
1631019914610,-0.913048,-0.27877,-0.181292
1631019914620,-0.913658,-0.27816,-0.181841
1631019914629,-0.913597,-0.277855,-0.18196299999999999
1631019914639,-0.91439,-0.279685,-0.18257299999999999
1631019914649,-0.913658,-0.27755,-0.183244
1631019914658,-0.912804,-0.278648,-0.18257299999999999
1631019914668,-0.913963,-0.278465,-0.182695
1631019914677,-0.9137799999999999,-0.278282,-0.18318299999999998
1631019914687,-0.913658,-0.27938,-0.18348799999999998
1631019914697,-0.914268,-0.279502,-0.18422
1631019914706,-0.914573,-0.279075,-0.184037
1631019914716,-0.914756,-0.279502,-0.184769
1631019914725,-0.915244,-0.27938,-0.185135
1631019914735,-0.915366,-0.281149,-0.18440299999999998
1631019914745,-0.914573,-0.28194199999999997,-0.184586
1631019914754,-0.914024,-0.281881,-0.185074
1631019914764,-0.912316,-0.282674,-0.185806
1631019914773,-0.910913,-0.283894,-0.186538
1631019914783,-0.910669,-0.285663,-0.18666
1631019914793,-0.9104249999999999,-0.283894,-0.186965
1631019914802,-0.909632,-0.284321,-0.187209
1631019914812,-0.9076799999999999,-0.28621199999999997,-0.18842899999999999
1631019914821,-0.9055449999999999,-0.286822,-0.188368
1631019914831,-0.904447,-0.288408,-0.18971
1631019914841,-0.904569,-0.290482,-0.190198
1631019914850,-0.904874,-0.28975,-0.189466
1631019914860,-0.904508,-0.286578,-0.189405
1631019914869,-0.905606,-0.285419,-0.188246
1631019914879,-0.9070699999999999,-0.284504,-0.186904
1631019914889,-0.909266,-0.282796,-0.188368
1631019914898,-0.9110349999999999,-0.281576,-0.190015
1631019914908,-0.9119499999999999,-0.28255199999999997,-0.188978
1631019914917,-0.9125599999999999,-0.281759,-0.189771
1631019914927,-0.912743,-0.282003,-0.18934399999999998
1631019914937,-0.911462,-0.28163699999999997,-0.188002
1631019914946,-0.9107299999999999,-0.282186,-0.18666
