timestamp,ax,ay,az
1631019914066,-0.7792749999999999,0.601094,-0.101931
1631019914076,-0.777628,0.600545,-0.101565
1631019914085,-0.7792749999999999,0.600789,-0.101382
1631019914095,-0.780922,0.599996,-0.10187
1631019914105,-0.780434,0.599447,-0.102968
1631019914114,-0.7801899999999999,0.599874,-0.101687
1631019914124,-0.780983,0.599691,-0.102297
1631019914133,-0.779946,0.598654,-0.102541
1631019914143,-0.780678,0.598349,-0.102541
1631019914153,-0.781959,0.59841,-0.10284599999999999
1631019914162,-0.782142,0.598349,-0.10309
1631019914172,-0.7835449999999999,0.599081,-0.105652
1631019914181,-0.783484,0.599386,-0.106018
1631019914191,-0.782569,0.600179,-0.104615
1631019914201,-0.782386,0.598837,-0.103517
1631019914210,-0.781349,0.596275,-0.102114
1631019914220,-0.782264,0.597129,-0.100955
1631019914229,-0.783423,0.59719,-0.100406
1631019914239,-0.786168,0.594994,-0.10083299999999999
1631019914249,-0.788059,0.594506,-0.10284599999999999
1631019914258,-0.791109,0.595604,-0.104859
1631019914268,-0.792268,0.598288,-0.105835
1631019914277,-0.79361,0.600301,-0.105408
1631019914287,-0.793244,0.603046,-0.104554
1631019914297,-0.790133,0.604571,-0.102724
1631019914306,-0.787693,0.605242,-0.099552
1631019914316,-0.786046,0.605913,-0.098698
1631019914325,-0.783362,0.604632,-0.098149
1631019914335,-0.7811049999999999,0.602802,-0.099552
1631019914345,-0.780068,0.601338,-0.102114
1631019914354,-0.779519,0.600362,-0.103273
1631019914364,-0.777933,0.599386,-0.107482
1631019914373,-0.777689,0.598471,-0.111203
1631019914383,-0.776774,0.59841,-0.113643
1631019914393,-0.7765299999999999,0.599386,-0.11315499999999999
1631019914402,-0.776591,0.600423,-0.111569
1631019914412,-0.776286,0.602314,-0.111081
1631019914421,-0.775249,0.604449,-0.110288
1631019914431,-0.774212,0.604754,-0.108092
1631019914441,-0.773236,0.606401,-0.10437099999999999
1631019914450,-0.773297,0.6085969999999999,-0.101687
1631019914460,-0.773175,0.60939,-0.100955
1631019914469,-0.772809,0.60695,-0.100894
1631019914479,-0.772931,0.607255,-0.10284599999999999
1631019914489,-0.774273,0.6085969999999999,-0.104859
1631019914498,-0.774456,0.60817,-0.108763
1631019914508,-0.77287,0.603961,-0.110471
1631019914517,-0.774273,0.601826,-0.112728
1631019914527,-0.775188,0.599752,-0.113277
1631019914537,-0.7759199999999999,0.598532,-0.114924
1631019914546,-0.777994,0.597373,-0.117181
1631019914556,-0.780922,0.597861,-0.116876
1631019914565,-0.781471,0.598898,-0.117913
1631019914575,-0.781532,0.597861,-0.117608
1631019914585,-0.783362,0.598959,-0.119194
1631019914594,-0.785497,0.599813,-0.11699799999999999
1631019914604,-0.785192,0.599874,-0.116022
1631019914613,-0.786046,0.599203,-0.11577799999999999
1631019914623,-0.785314,0.598898,-0.114375
1631019914633,-0.7850699999999999,0.599325,-0.11315499999999999
1631019914642,-0.785741,0.598898,-0.11254499999999999
1631019914652,-0.785192,0.598898,-0.11114199999999999
1631019914661,-0.7847649999999999,0.598288,-0.111264
1631019914671,-0.786107,0.597922,-0.110105
1631019914681,-0.7841549999999999,0.5978,-0.108214
1631019914690,-0.784216,0.597373,-0.107482
1631019914700,-0.7844599999999999,0.597251,-0.105896
1631019914709,-0.785131,0.597251,-0.105469
1631019914719,-0.784948,0.598227,-0.10431
