utcTime,eventMarker
1629897170676.0,start_experiment
1629897192367.369,start_baseline
1629897372367.369,end_baseline
1629897382467.647,submit_survey
1629897385284.68,start_crt
1629897453263.858,start_nback
1629897558582.689,start_activity
1629897739164.2517,end_activity
1629897757751.3372,submit_survey
1629897760365.0718,start_crt
1629897826982.46,start_nback
1629897908348.002,start_fatigue
1629898121218.1548,end_fatigue
1629898125640.8289,submit_survey
1629898128264.347,start_crt
1629898191096.558,start_nback
1629898241118.229,end_session
