timestamp,cumulative_impulse_load,walking_step_count,running_step_count,bound_count,jump_count,minor_impact_count,major_impact_count,avg_force_dev_rate,avg_step_impulse,avg_step_period,last_jump_flight_time
1631106871449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106872449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106873449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106874449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106875449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106876449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106877449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106878449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106879449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106880449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106881449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106882449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106883449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106884449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106885449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106886449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106887449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106888449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106889449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106890449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106891449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106892449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106893449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106894449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106895449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106896449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106897449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106898449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106899449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106900449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106901449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106902449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106903449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106904449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106905449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106906449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106907449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106908449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106909449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106910449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106911449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106912449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106913449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106914449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106915449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106916449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106917449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106918449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106919449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106920449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106921449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106922449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106923449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106924449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106925449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106926449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106927449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106928449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106929449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106930449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106931449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106932449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106933449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106934449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106935449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106936449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106937449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106938449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106939449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106940449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106941449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106942449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106943449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106944449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106945449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106946449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106947449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106948449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106949449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106950449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
