timestamp,battery_level_muse,battery_voltage_muse,adc_voltage_muse,temperature_muse
1630411801846,8000,3249,-1,0
1630411831835,8000,3249,-1,0
1630411841844,8000,3251,-1,0
1630411851839,7500,3245,-1,0
1630411861876,8000,3249,-1,0
1630411871863,8000,3249,-1,0
1630411881885,8000,3247,-1,0
1630411891874,8000,3249,-1,0
1630411901880,7500,3245,-1,0
1630411911878,7500,3240,-1,0
1630411921896,8000,3247,-1,0
1630411931907,7500,3245,-1,0
1630411941908,7500,3242,-1,0
1630411951948,7500,3245,-1,0
1630411961948,8000,3249,-1,0
1630411971933,7500,3245,-1,0
1630411981919,8000,3247,-1,0
1630411991895,7500,3238,-1,0
1630412001967,8000,3247,-1,0
1630412011940,8000,3247,-1,0
1630412021971,6000,3209,-1,0
1630412031960,8000,3247,-1,0
1630412041995,7500,3245,-1,0
1630412051938,6500,3214,-1,0
1630412062005,7500,3242,-1,0
1630412071985,7500,3245,-1,0
1630412082018,7500,3242,-1,0
1630412092009,7500,3245,-1,0
1630412102048,6500,3218,-1,0
1630412112026,7500,3242,-1,0
1630412122031,7500,3245,-1,0
1630412212251,7500,3240,-1,0
1630412222271,7500,3245,-1,0
1630412232221,7500,3245,-1,0
1630412242274,7500,3242,-1,0
1630412252249,7500,3240,-1,0
1630412262245,7000,3234,-1,0
1630412272250,7500,3236,-1,0
1630412282256,7500,3240,-1,0
1630412292302,7500,3240,-1,0
1630412302279,7500,3240,-1,0
1630412312304,7000,3234,-1,0
1630412322325,7500,3238,-1,0
1630412332370,6500,3218,-1,0
1630412342295,7500,3240,-1,0
1630412352398,7500,3238,-1,0
1630412362416,7500,3236,-1,0
1630412372362,7500,3240,-1,0
1630412382354,7500,3240,-1,0
1630412392350,7500,3238,-1,0
1630412402351,7500,3238,-1,0
1630412412372,7000,3234,-1,0
1630412422355,7500,3238,-1,0
1630412432379,7500,3240,-1,0
1630412442367,7500,3238,-1,0
1630412452417,7500,3238,-1,0
1630412462416,7500,3236,-1,0
1630412472400,7000,3231,-1,0
1630412482415,7500,3236,-1,0
1630412492405,7500,3236,-1,0
1630412502445,7000,3231,-1,0
1630412512442,7500,3236,-1,0
1630412522433,7000,3234,-1,0
1630412532449,6000,3207,-1,0
1630412542485,7000,3234,-1,0
1630412552483,7000,3229,-1,0
1630412562500,7000,3234,-1,0
1630412572581,7500,3236,-1,0
1630412582471,7000,3234,-1,0
1630412592468,7500,3236,-1,0
1630412602562,5500,3194,-1,0
1630412612491,7000,3231,-1,0
1630412622526,7000,3231,-1,0
1630412632570,7000,3234,-1,0
1630412642498,7000,3231,-1,0
1630412652523,7000,3231,-1,0
1630412662539,7000,3231,-1,0
1630412672544,7000,3227,-1,0
1630412682604,7000,3231,-1,0
1630412692568,6500,3218,-1,0
1630412702565,6500,3218,-1,0
1630412712584,6000,3205,-1,0
1630412722601,7000,3227,-1,0
1630412732602,7000,3229,-1,0
1630412742550,7000,3231,-1,0
1630412752599,7000,3227,-1,0
1630412762629,7000,3227,-1,0
1630412772675,7000,3227,-1,0
1630412782686,7000,3227,-1,0
1630412792598,7000,3227,-1,0
1630412802709,7000,3229,-1,0
1630412812616,7000,3227,-1,0
1630412822686,7000,3229,-1,0
1630412832656,7000,3225,-1,0
1630412842690,7000,3229,-1,0
1630412852652,7000,3227,-1,0
1630412862663,7000,3229,-1,0
1630412872662,7000,3227,-1,0
1630412882649,7000,3227,-1,0
1630412892711,6500,3218,-1,0
1630412902736,6500,3223,-1,0
1630412912771,7000,3225,-1,0
1630412922673,7000,3227,-1,0
1630412932736,7000,3225,-1,0
1630412942723,6500,3218,-1,0
1630412952730,7000,3225,-1,0
1630412962774,6500,3223,-1,0
1630412972762,6500,3223,-1,0
1630412982762,7000,3225,-1,0
1630412992733,7000,3225,-1,0
1630413002715,6500,3223,-1,0
1630413012749,6500,3220,-1,0
1630413022803,6500,3220,-1,0
