utcTime,eventMarker
1630411768980.0,start_experiment
1630411793127.684,start_baseline
1630411973127.684,end_baseline
1630411982525.8748,submit_survey
1630411993759.939,start_crt
1630412067592.973,start_nback
1630412186061.538,start_activity
1630412366409.345,end_activity
1630412406237.959,submit_survey
1630412410326.663,start_crt
1630412479440.208,start_nback
1630412614671.916,start_fatigue
1630412890257.6301,end_fatigue
1630412896497.691,submit_survey
1630412903555.901,start_crt
1630412977755.954,start_nback
1630413027777.472,end_session
