utcTime,eventMarker
1630501790311.0,start_experiment
1630501821543.514,start_baseline
1630502001543.514,end_baseline
1630502015563.4172,submit_survey
1630502019127.904,start_crt
1630502083907.4612,start_nback
1630502182828.316,start_activity
1630502363294.389,end_activity
1630502397212.563,submit_survey
1630502399228.4019,start_crt
1630502467407.325,start_nback
1630502538712.172,start_fatigue
1630502694778.285,end_fatigue
1630502704745.4028,submit_survey
1630502706842.622,start_crt
1630502769511.2441,start_nback
1630502819511.947,end_session
