utcTime,eventMarker
1629800357104.0,start_experiment
1629800379776.052,start_baseline
1629800559776.052,end_baseline
1629800571256.726,submit_survey
1629800583073.483,start_crt
1629800655959.6428,start_nback
1629800759460.295,start_activity
1629800939892.246,end_activity
1629800973809.595,submit_survey
1629800978372.558,start_crt
1629801046271.3179,start_nback
1629801154439.2742,start_fatigue
1629801363108.533,end_fatigue
1629801387272.613,submit_survey
1629801393839.304,start_crt
1629801464419.631,start_nback
1629801514441.0378,end_session
