trialStartTime,trialEndTime,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
349.2712158418726,349.7767351430375,H,None,None,1,,0,0
351.7799406470731,352.27731569693424,F,None,None,1,,1,0
354.2795400249306,354.77717382390983,H,m,m,1,0.7720946809276938,2,0
356.7805408870336,357.2770739670377,X,None,None,1,,3,0
359.27948033297434,359.7759855440818,B,None,None,1,,4,0
361.77924833097495,362.27682761801407,X,m,m,1,0.4138738920446485,5,0
364.2798892320134,364.7769516739063,R,None,None,1,,6,0
366.7780902700033,367.2769072100055,K,None,None,1,,7,0
369.2808967139572,369.77682746900246,M,None,None,1,,8,0
371.7798062840011,372.2805031889584,Q,None,None,1,,9,0
374.2791040269658,374.7766901110299,M,m,m,1,0.5804654038511217,10,0
376.7762724040076,377.276788281044,X,None,None,1,,11,0
379.279365937924,379.776796329068,Q,None,None,1,,12,0
381.7789923790842,382.2765953459311,K,None,None,1,,13,0
384.2788309219759,384.7764930110425,R,None,None,1,,14,0
386.7787431040779,387.2765749420505,H,None,None,1,,15,0
389.2787283470389,389.7766052619554,R,m,m,1,0.7552178788464516,16,0
391.7773791179061,392.2765994940419,F,None,None,1,,17,0
394.27757970499806,394.7765789949335,M,None,None,1,,18,0
396.77933583408594,397.2765859859064,B,None,None,1,,19,0
740.0975866259541,740.605241544079,K,None,None,1,,0,1
742.5925420909189,743.1051523229107,M,None,None,1,,1,1
745.0913164799567,745.6050504338928,H,None,None,1,,2,1
747.5919578499161,748.1051274118945,F,None,None,1,,3,1
750.0912935459055,750.605096652871,H,m,m,1,0.9247834640555084,4,1
752.5914468369447,753.1050248439424,R,None,None,1,,5,1
755.0923928010743,755.6045465308707,X,None,None,1,,6,1
757.6061580269597,758.1050060810521,R,m,m,1,0.5625767041929066,7,1
760.0912598990835,760.6048920869362,B,None,None,1,,8,1
762.591328878887,763.1045051899273,K,None,None,1,,9,1
765.0916739839595,765.6048110250849,Q,None,None,1,,10,1
767.607860466931,768.104986598948,K,m,m,1,0.3824403220787644,11,1
770.1070068599656,770.6047710268758,F,None,None,1,,12,1
772.6052985859569,773.104399018921,B,None,None,1,,13,1
775.1070193250198,775.6046740419697,H,None,None,1,,14,1
777.6076770559885,778.1047021278646,B,m,m,1,0.5702695669606328,15,1
780.1069504700135,780.6047279469203,R,None,None,1,,16,1
782.6046545780264,783.1046287079807,Q,None,None,1,,17,1
785.1090062360745,785.6046517218929,M,None,None,1,,18,1
787.6068957990501,788.1046019559726,X,None,None,1,,19,1
1130.16420108499,1130.6703498170243,B,None,None,1,,0,2
1132.6507646860557,1133.1499187350273,H,None,None,1,,1,2
1135.1528326969128,1135.6498761239927,K,None,None,1,,2,2
1137.6529014238622,1138.1498630209826,F,None,None,1,,3,2
1140.152425318025,1140.6492547420785,X,None,None,1,,4,2
1142.650495812064,1143.1497546599712,F,m,m,1,0.5869806108530611,5,2
1145.1505811200475,1145.6497676998845,Q,None,None,1,,6,2
1147.6519338600338,1148.1498577089517,R,None,None,1,,7,2
1150.1510854868684,1150.6497490529437,Q,m,m,1,0.3865032920148223,8,2
1152.6490852478892,1153.149663172895,M,None,None,1,,9,2
1155.1524421640206,1155.6496335000263,K,None,None,1,,10,2
1157.6502785838677,1158.149726175936,R,None,None,1,,11,2
1160.1522940760478,1160.6495425079484,K,m,m,1,0.6987244919873774,12,2
1162.6499516188633,1163.1495064538904,B,None,None,1,,13,2
1165.1517410990782,1165.649580094032,M,None,None,1,,14,2
1167.649811862968,1168.1488505280577,B,m,None,0,,15,2
1170.148615802871,1170.648619919084,Q,None,None,1,,16,2
1172.6487227289472,1173.1493897789624,F,None,None,1,,17,2
1175.1521091170143,1175.6495383440051,H,None,None,1,,18,2
1177.6515354330186,1178.1494503840804,X,None,None,1,,19,2
