timestamp,battery_level_muse,battery_voltage_muse,adc_voltage_muse,temperature_muse
1630937427835,8000,3249,-1,0
1630937437824,8000,3251,-1,0
1630937447856,7500,3236,-1,0
1630937457851,7500,3240,-1,0
1630937467856,8000,3247,-1,0
1630937477923,8000,3251,-1,0
1630937487876,8000,3249,-1,0
1630937497879,8000,3249,-1,0
1630937507896,8000,3249,-1,0
1630937517887,8000,3251,-1,0
1630937527906,8000,3249,-1,0
1630937537923,8000,3249,-1,0
1630937547897,8000,3249,-1,0
1630937557932,8000,3249,-1,0
1630937567930,8000,3247,-1,0
1630937577925,8000,3249,-1,0
1630937587974,8000,3249,-1,0
1630937597956,8000,3247,-1,0
1630937607946,7500,3245,-1,0
1630937617974,7500,3245,-1,0
1630937627957,7000,3234,-1,0
1630937637973,8000,3249,-1,0
1630937647981,8000,3249,-1,0
1630937657990,8000,3249,-1,0
1630937667975,8000,3249,-1,0
1630937677989,8000,3249,-1,0
1630937688012,8000,3247,-1,0
1630937698013,8000,3247,-1,0
1630937708039,8000,3247,-1,0
1630937718061,6500,3218,-1,0
1630937728061,7500,3245,-1,0
1630937738027,7500,3242,-1,0
1630937748035,8000,3247,-1,0
1630937758053,7500,3245,-1,0
1630937768051,7000,3231,-1,0
1630937778063,8000,3247,-1,0
1630937788078,8000,3247,-1,0
1630937798086,7500,3245,-1,0
1630937808078,7500,3245,-1,0
1630937818093,8000,3247,-1,0
1630937828099,7500,3240,-1,0
1630937838102,7500,3242,-1,0
1630937848110,7000,3231,-1,0
1630937858128,7500,3240,-1,0
1630937868146,7500,3236,-1,0
1630937878144,7500,3242,-1,0
1630937888194,7500,3245,-1,0
1630937898160,7500,3242,-1,0
1630937908154,7000,3234,-1,0
1630937918188,7500,3240,-1,0
1630937928170,6500,3214,-1,0
1630937938171,7500,3242,-1,0
1630937948182,7500,3245,-1,0
1630937958202,7500,3242,-1,0
1630937968179,7500,3236,-1,0
1630937978199,7500,3236,-1,0
1630937988209,7500,3238,-1,0
1630937998226,6500,3214,-1,0
1630938008201,7500,3242,-1,0
1630938018203,7500,3245,-1,0
1630938028243,7500,3242,-1,0
1630938038219,7500,3242,-1,0
1630938048267,7500,3240,-1,0
1630938058291,6500,3218,-1,0
1630938068244,7500,3238,-1,0
1630938078276,7500,3238,-1,0
1630938088270,7500,3240,-1,0
1630938098285,7500,3240,-1,0
1630938108265,7500,3236,-1,0
1630938118286,7500,3240,-1,0
1630938128294,7500,3236,-1,0
1630938138307,7500,3236,-1,0
1630938148324,7500,3236,-1,0
1630938158313,7500,3236,-1,0
1630938168312,7500,3242,-1,0
1630938178366,7000,3231,-1,0
1630938188358,6000,3203,-1,0
1630938198338,7500,3236,-1,0
1630938208349,7000,3234,-1,0
1630938218341,6500,3216,-1,0
1630938228362,7500,3236,-1,0
1630938238411,7500,3238,-1,0
1630938248374,7500,3238,-1,0
1630938258379,7500,3238,-1,0
1630938268384,7000,3234,-1,0
1630938278389,7000,3231,-1,0
1630938288394,7000,3227,-1,0
1630938298410,7000,3234,-1,0
1630938308400,7000,3231,-1,0
1630938318426,6500,3223,-1,0
1630938328440,7000,3234,-1,0
1630938338419,7000,3234,-1,0
1630938348427,7000,3234,-1,0
1630938358446,7000,3231,-1,0
1630938368450,7000,3229,-1,0
1630938378481,6500,3218,-1,0
1630938388481,7000,3229,-1,0
1630938398467,7000,3231,-1,0
1630938408463,7000,3229,-1,0
1630938418497,7000,3234,-1,0
1630938428485,7000,3234,-1,0
1630938438527,7000,3234,-1,0
1630938448515,6000,3205,-1,0
1630938458521,7000,3229,-1,0
1630938468535,7000,3231,-1,0
1630938478522,7000,3227,-1,0
1630938488530,6000,3212,-1,0
1630938498517,7000,3225,-1,0
1630938508538,7000,3227,-1,0
1630938518534,7000,3231,-1,0
1630938528547,7000,3227,-1,0
1630938538536,7000,3229,-1,0
1630938548597,7000,3231,-1,0
1630938558565,7000,3231,-1,0
1630938568587,7000,3227,-1,0
