utcTime,eventMarker
1630937397501.0,start_experiment
1630937420085.0188,start_baseline
1630937600085.0188,end_baseline
1630937630917.179,submit_survey
1630937644371.795,start_crt
1630937746785.91,start_nback
1630937846337.313,start_activity
1630938026851.5469,end_activity
1630938055559.5579,submit_survey
1630938067484.803,start_crt
1630938137616.645,start_nback
1630938225283.025,start_fatigue
1630938430169.275,end_fatigue
1630938442290.987,submit_survey
1630938447665.421,start_crt
1630938527684.277,start_nback
1630938577687.093,end_session
