timestamp,green,ir,red
1630937421945,63830,369836,357251
1630937421955,63812,369878,357258
1630937421965,63799,369882,357290
1630937421975,63793,369843,357286
1630937421985,63783,369805,357288
1630937421995,63778,369800,357273
1630937422005,63760,369768,357301
1630937422015,63777,369802,357335
1630937422025,63763,369783,357345
1630937422035,63776,369853,357384
1630937422045,63774,369878,357389
1630937422055,63760,369853,357386
1630937422065,63746,369823,357384
1630937422075,63728,369814,357390
1630937422085,63724,369779,357358
1630937422095,63716,369839,357354
1630937422105,63719,369875,357364
1630937422115,63699,369808,357389
1630937422125,63687,369806,357399
1630937422135,63675,369798,357381
1630937422145,63659,369786,357398
1630937422155,63642,369730,357345
1630937422165,63628,369690,357348
1630937422175,63618,369701,357358
1630937422185,63607,369644,357317
1630937422195,63592,369645,357320
1630937422205,63583,369670,357280
1630937422215,63576,369628,357272
1630937422225,63557,369600,357269
1630937422235,63563,369608,357325
1630937422245,63540,369633,357268
1630937422255,63541,369646,357242
1630937422265,63533,369600,357328
1630937422275,63543,369636,357327
1630937422285,63552,369647,357306
1630937422295,63546,369716,357335
1630937422305,63553,369634,357337
1630937422315,63559,369687,357337
1630937422325,63577,369728,357392
1630937422335,63596,369720,357361
1630937422345,63603,369739,357395
1630937422355,63612,369774,357432
1630937422365,63592,369756,357425
1630937422375,63613,369826,357447
1630937422385,63609,369812,357477
1630937422395,63633,369845,357497
1630937422405,63647,369906,357469
1630937422415,63644,369872,357517
1630937422425,63643,369957,357550
1630937422435,63654,369934,357559
1630937422445,63661,369960,357570
1630937422455,63676,369981,357582
1630937422465,63683,369967,357589
1630937422475,63691,369955,357605
1630937422485,63697,370003,357628
1630937422495,63723,370020,357621
1630937422505,63737,370065,357645
1630937422515,63744,370113,357682
1630937422525,63763,370097,357711
1630937422535,63781,370177,357714
1630937422545,63803,370184,357795
1630937422555,63823,370222,357785
1630937422565,63839,370223,357865
1630937422575,63873,370293,357883
1630937422585,63897,370316,357922
1630937422595,63919,370318,357942
1630937422605,63906,370286,357995
1630937422615,63906,370256,358024
1630937422625,63902,370266,358028
1630937422635,63881,370233,357995
1630937422645,63861,370197,358018
1630937422655,63853,370131,358014
1630937422665,63846,370204,358044
1630937422675,63830,370129,358051
1630937422685,63809,370126,358050
1630937422695,63820,370131,358097
1630937422705,63804,370115,358078
1630937422715,63780,370105,358085
1630937422725,63741,370086,358065
1630937422735,63711,370020,358040
1630937422745,63671,369991,358027
1630937422755,63648,369897,357994
1630937422765,63633,369946,358032
1630937422775,63610,369943,358045
1630937422785,63593,369871,358036
1630937422795,63579,369799,358008
1630937422805,63538,369817,357995
1630937422815,63534,369745,358004
1630937422825,63513,369676,357998
1630937422835,63475,369628,357960
1630937422845,63471,369672,357975
1630937422855,63453,369651,357994
1630937422865,63462,369597,357987
1630937422875,63461,369606,358011
1630937422885,63460,369571,358055
1630937422895,63482,369661,358123
1630937422905,63494,369623,358109
1630937422915,63481,369597,358186
1630937422925,63562,369777,358321
1630937422935,63583,369736,358319
1630937422945,63647,369901,358476
1630937422955,63712,369906,358566
1630937422965,63752,369984,358731
1630937422975,63854,370035,358798
1630937422985,63914,370118,358902
1630937422995,63977,370201,358964
1630937423005,64049,370192,359083
1630937423015,64082,370256,359113
1630937423025,64112,370338,359186
1630937423035,64168,370305,359245
1630937423045,64189,370337,359230
1630937423055,64188,370371,359298
1630937423065,64240,370358,359351
1630937423075,64257,370368,359366
1630937423085,64283,370390,359421
1630937423095,64309,370434,359426
1630937423105,64327,370401,359458
1630937423115,64356,370463,359552
1630937423125,64390,370510,359565
1630937423135,64414,370496,359615
1630937423145,64445,370546,359635
1630937423155,64478,370563,359684
1630937423165,64515,370611,359761
1630937423175,64552,370658,359840
1630937423185,64583,370731,359838
1630937423195,64611,370727,359886
1630937423205,64654,370796,359959
1630937423215,64684,370770,360018
1630937423225,64705,370836,360015
1630937423235,64735,370876,360117
1630937423245,64770,370923,360129
1630937423255,64788,370942,360204
1630937423265,64813,370946,360211
1630937423275,64842,371029,360266
1630937423285,64861,371069,360280
1630937423295,64892,371089,360353
1630937423305,64924,371071,360343
1630937423315,64930,371177,360358
1630937423325,64950,371156,360388
1630937423335,64969,371221,360431
1630937423345,64993,371262,360379
1630937423355,65002,371216,360430
1630937423365,65009,371362,360444
1630937423375,65023,371309,360435
1630937423385,65039,371333,360439
1630937423395,65065,371344,360480
1630937423405,65103,371334,360557
1630937423415,65126,371374,360594
1630937423425,65143,371391,360576
1630937423435,65151,371409,360615
1630937423445,65142,371327,360588
1630937423455,65124,371269,360601
1630937423465,65117,371211,360571
1630937423475,65062,371247,360497
1630937423485,65061,371119,360471
1630937423495,65026,371124,360458
1630937423505,65015,371074,360425
1630937423515,65000,371004,360414
1630937423525,64968,371032,360414
1630937423535,64955,370933,360386
1630937423545,64948,370951,360368
1630937423555,64921,370936,360386
1630937423565,64906,370850,360309
1630937423575,64891,370861,360308
1630937423585,64879,370795,360276
1630937423595,64872,370789,360295
1630937423605,64840,370680,360247
1630937423615,64824,370642,360212
1630937423625,64795,370705,360192
1630937423635,64778,370631,360164
1630937423645,64748,370544,360078
1630937423655,64723,370495,360049
1630937423665,64693,370500,360024
1630937423675,64676,370495,359981
1630937423685,64658,370436,359950
1630937423695,64649,370391,359904
1630937423705,64616,370361,359849
1630937423715,64586,370365,359820
1630937423725,64566,370304,359780
1630937423735,64554,370330,359746
1630937423745,64536,370258,359761
1630937423755,64522,370247,359706
1630937423765,64506,370259,359635
1630937423775,64501,370231,359649
1630937423785,64508,370217,359629
1630937423795,64501,370255,359627
1630937423805,64507,370200,359636
1630937423815,64519,370249,359607
1630937423825,64523,370198,359663
1630937423835,64541,370267,359634
1630937423845,64546,370299,359676
1630937423855,64540,370324,359652
1630937423865,64561,370314,359672
1630937423875,64572,370307,359656
1630937423885,64580,370375,359684
1630937423895,64608,370405,359700
1630937423905,64635,370414,359736
1630937423915,64667,370461,359768
1630937423925,64694,370526,359751
1630937423935,64715,370543,359801
1630937423945,64738,370600,359878
1630937423955,64798,370649,359880
1630937423965,64829,370726,359941
1630937423975,64862,370786,359977
1630937423985,64885,370838,360040
1630937423995,64928,370935,360063
1630937424005,64961,370960,360148
1630937424015,64991,370992,360158
1630937424025,65022,371024,360220
1630937424035,65045,371082,360234
1630937424045,65072,371084,360265
1630937424055,65106,371126,360284
1630937424065,65140,371213,360365
1630937424075,65169,371159,360358
1630937424085,65196,371204,360441
1630937424095,65214,371277,360448
1630937424105,65230,371223,360517
1630937424115,65260,371245,360482
1630937424125,65271,371297,360537
1630937424135,65311,371302,360510
1630937424145,65305,371311,360509
1630937424155,65308,371274,360506
1630937424165,65294,371290,360485
1630937424175,65309,371350,360487
1630937424185,65319,371282,360507
1630937424195,65312,371190,360441
1630937424205,65303,371263,360448
1630937424215,65305,371232,360388
1630937424225,65290,371251,360407
1630937424235,65296,371275,360361
1630937424245,65303,371213,360393
1630937424255,65305,371267,360368
1630937424265,65328,371225,360401
1630937424275,65356,371239,360408
1630937424285,65355,371242,360445
1630937424295,65377,371268,360444
1630937424305,65380,371159,360432
1630937424315,65384,371150,360456
1630937424325,65374,371147,360394
1630937424335,65364,371083,360462
1630937424345,65357,371052,360432
1630937424355,65350,371057,360389
1630937424365,65344,371012,360402
1630937424375,65343,370942,360344
1630937424385,65327,370970,360368
1630937424395,65342,370945,360365
1630937424405,65355,370962,360337
1630937424415,65368,370921,360390
1630937424425,65396,370995,360402
1630937424435,65411,370969,360419
1630937424445,65409,370924,360451
1630937424455,65407,370957,360442
1630937424465,65407,370907,360475
1630937424475,65398,370885,360378
1630937424485,65396,370902,360408
1630937424495,65388,370795,360398
1630937424505,65371,370811,360336
1630937424515,65359,370813,360314
1630937424525,65337,370733,360295
1630937424535,65325,370758,360350
1630937424545,65334,370788,360262
1630937424555,65333,370729,360294
1630937424565,65341,370752,360244
1630937424575,65336,370749,360294
1630937424585,65342,370706,360259
1630937424595,65338,370714,360265
1630937424605,65352,370767,360283
1630937424615,65343,370736,360256
1630937424625,65361,370730,360256
1630937424635,65359,370750,360264
1630937424645,65382,370718,360257
1630937424655,65380,370719,360296
1630937424665,65386,370714,360273
1630937424675,65406,370746,360264
1630937424685,65395,370782,360263
1630937424695,65408,370815,360267
1630937424705,65425,370798,360262
1630937424715,65438,370814,360286
1630937424725,65454,370800,360343
1630937424735,65458,370834,360297
1630937424745,65455,370840,360278
1630937424755,65478,370819,360294
1630937424765,65469,370800,360221
1630937424775,65491,370847,360232
1630937424785,65497,370881,360278
1630937424795,65516,370874,360291
1630937424805,65509,370921,360274
1630937424815,65536,370910,360286
1630937424825,65551,370883,360265
1630937424835,65559,370943,360307
1630937424845,65554,370978,360313
1630937424855,65569,370960,360312
1630937424865,65585,370974,360281
1630937424875,65603,371038,360284
1630937424885,65606,371004,360296
1630937424895,65611,371023,360308
1630937424905,65627,371036,360298
1630937424915,65662,371087,360246
1630937424925,65665,371063,360312
1630937424935,65657,371090,360285
1630937424945,65684,371099,360288
1630937424955,65698,371150,360302
1630937424965,65708,371129,360298
1630937424975,65718,371198,360301
1630937424985,65750,371189,360320
1630937424995,65763,371216,360350
1630937425005,65776,371270,360405
1630937425015,65805,371259,360407
1630937425025,65815,371253,360376
1630937425035,65823,371281,360364
1630937425045,65847,371361,360389
1630937425055,65878,371364,360442
1630937425065,65896,371386,360424
1630937425075,65918,371462,360431
1630937425085,65943,371509,360450
1630937425095,65976,371550,360502
1630937425105,65995,371572,360522
1630937425115,66019,371634,360599
1630937425125,66069,371682,360625
1630937425135,66124,371699,360659
1630937425145,66132,371700,360692
1630937425155,66168,371749,360748
1630937425165,66180,371750,360780
1630937425175,66197,371672,360745
1630937425185,66200,371728,360819
1630937425195,66212,371726,360818
1630937425205,66225,371668,360760
1630937425215,66227,371753,360818
1630937425225,66241,371742,360804
1630937425235,66258,371745,360851
1630937425245,66261,371732,360829
1630937425255,66277,371745,360834
1630937425265,66277,371774,360815
1630937425275,66273,371721,360803
1630937425285,66272,371703,360833
1630937425295,66285,371714,360813
1630937425305,66287,371704,360789
1630937425315,66269,371679,360806
1630937425325,66291,371673,360858
1630937425335,66289,371674,360834
1630937425345,66288,371685,360830
1630937425355,66292,371714,360818
1630937425365,66290,371682,360852
1630937425375,66309,371756,360869
1630937425385,66312,371720,360882
1630937425395,66317,371780,360854
1630937425405,66334,371776,360850
1630937425415,66336,371831,360875
1630937425425,66361,371814,360907
1630937425435,66390,371845,360932
1630937425445,66401,371902,360963
1630937425455,66402,371895,360976
1630937425465,66423,371939,360945
1630937425475,66433,371934,360978
1630937425485,66444,371945,360952
1630937425495,66436,371993,360979
1630937425505,66450,371987,360978
1630937425515,66466,372013,361023
1630937425525,66481,372040,361017
1630937425535,66492,372016,361048
1630937425545,66500,372036,361041
1630937425555,66513,372114,361018
1630937425565,66529,372115,361078
1630937425575,66547,372186,361080
1630937425585,66553,372159,361065
1630937425595,66542,372139,361065
1630937425605,66569,372148,361080
1630937425615,66573,372189,361090
1630937425625,66577,372190,361081
1630937425635,66585,372239,361078
1630937425645,66578,372180,361049
1630937425655,66578,372211,361064
1630937425665,66576,372266,361069
1630937425675,66583,372205,361041
1630937425685,66590,372255,361048
1630937425695,66597,372317,361041
1630937425705,66592,372252,361039
1630937425715,66600,372314,361073
1630937425725,66604,372356,361003
1630937425735,66621,372294,361010
1630937425745,66625,372346,361005
1630937425755,66611,372341,361057
1630937425765,66638,372392,361070
1630937425775,66645,372392,361029
1630937425785,66656,372375,361062
1630937425795,66654,372398,361070
1630937425805,66662,372469,361020
1630937425815,66668,372508,361054
1630937425825,66682,372495,361051
1630937425835,66689,372542,361017
